ID;nr total;nr AB;list
n1;23;4;olas,dzīvnieku tauki,cūku,pārklāts ar olu
n2;43;3;sviesta aromatizētājs,sūkalu pulveris,sviesta
n3;34;2;vājpiena pulveris,sūkalu pulveris
n4;27;6;atjaunots vājpiens,vājpiena pulveris,sviesta eļļa,sūkalu sausna,piens,ar pienu
n5;35;12;vājpiens,krējums,no piena,vājpiena pulveris,saldināts kondensētais vājpiens,piena olbaltumvielas,piena tauki,laktoze,sūkalu permeāts,no piena,nātrija kazeināts,no piena
n6;44;8;piena šokolāde,pilnpiena pulveris,piena tauki,saldais krējums,saldais krējums,vājpiena pulveris,sūkalu pulveris,piena tauki
n7;25;5;cāļa fileja,mehāniski atdalīta cāļa gaļa,olu baltuma masa,cāļu ādas,sviesta pulveris
n8;36;1;satur olas
n9;54;7;olu pulveris,olas vārītas,olas,vārīta desa,cūkgaļa,liellopu gaļa,olu pulveris
n10;14;2;piens,d
n11;30;4;cāļa gaļa,vistas āda,piena olbaltumvielas,satur laktozi
n12;34;4;cāļa krūtiņas fileja,cāļu ādas,siers,satur pienu
n13;58;6;cepta vistas gaļa,vistas gaļa,olu dzeltenuma pulveris,siers,piens,siera ferments
n14;4;1;pasterizēts govs piens
n15;21;2;biezpiens,sviests
n16;33;1;sausais piens
n17;23;6;sūkalu pulveris,no piena,siera pulveris,siera pulveris,no kura 50% ir baltais čedaras siers,satur pienu
n18;23;6;sūkalu pulveris,no piena,siera pulveris,siera pulveris,no kura 50% ir baltais čedaras siers,satur pienu
n19;33;5;sūkalu pulveris,no piena,piena pulveris,piena olbaltumvielas,siera pulveris
n20;21;1;piena olbaltumvielas
v1;10;0;
v2;9;0;
v3;44;8;piens,sviests,sausās siera sūkalas,saldais krējums,sausais vājpiens,sastāvdaļas piena šokolādei,pilnpiena pulveris,piena tauki
v4;31;0;
v5;4;0;
v6;21;0;
v7;26;0;
v8;26;0;
v9;15;0;
v10;21;0;
v11;0;0;
v12;0;0;
v13;0;0;
v14;0;0;
v15;0;0;
v16;0;0;
v17;0;0;
v18;0;0;
v19;0;0;
v20;0;0;
