"Recall, no-pr.","Precision, no-pr.","F1 score, no-pr.","Classified correctly, no-pr.","Recall, identical","Precision, identical","F1 score, identical","Classified correctly, identical","Recall, Lev1","Precision, Lev1","F1 score, Lev1","Classified correctly, Lev1","Recall, Lev25%","Precision, Lev25%","F1 score, Lev25%","Classified correctly, Lev25%"
0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
0.670,1.000,0.800,1,0.670,1.000,0.800,1,1.000,1.000,1.000,1,1.000,1.000,1.000,1
0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
0.830,1.000,0.910,1,0.830,1.000,0.910,1,1.000,0.860,0.920,1,1.000,1.000,1.000,1
0.830,0.910,0.870,1,0.670,1.000,0.800,1,0.670,0.890,0.760,1,0.670,0.890,0.760,1
0.630,0.560,0.590,1,0.750,0.860,0.800,1,0.750,0.860,0.800,1,0.750,0.860,0.800,1
1.000,1.000,1.000,1,1.000,1.000,1.000,1,1.000,1.000,1.000,1,1.000,1.000,1.000,1
0.000,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1
0.830,1.000,0.910,1,0.830,1.000,0.910,1,1.000,0.860,0.920,1,1.000,1.000,1.000,1
0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,1
1.000,0.670,0.800,1,1.000,0.670,0.800,1,1.000,0.670,0.800,1,1.000,0.800,0.890,1
0.500,1.000,0.670,1,0.500,1.000,0.670,1,1.000,0.800,0.890,1,1.000,0.670,0.800,1
0.830,0.630,0.710,1,0.830,0.830,0.830,1,1.000,0.600,0.750,1,1.000,0.550,0.710,1
0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
1.000,1.000,1.000,1,1.000,1.000,1.000,1,1.000,1.000,1.000,1,1.000,1.000,1.000,1
