ID;raw L;raw J;raw O; BW Levenshtein;BW Jaccard;BW Overlap;GS Levenshtein;GS Jaccard;GS Overlap;GBremove Levenshtein;GBremove Jaccard;GBremove Overlap
n1;946;0.23193916349809887;0.6421052631578947;7544;0.001153846153846154;0.031578947368421054;809;0.0;0.0;2165;0.009174311926605505;0.07368421052631578
n2;544;0.15675675675675677;0.42028985507246375;490;0.043209876543209874;0.10144927536231885;541;0.13186813186813187;0.34782608695652173;492;0.028901734104046242;0.07246376811594203
n3;503;0;0;1261;0.1183206106870229;0.5254237288135594;495;0.0;0.0;500;0;0
n4;1489;0.0912280701754386;0.5652173913043478;1441;0.05956112852664577;0.41304347826086957;1141;0.1059322033898305;0.5434782608695652;1610;0.07207207207207207;0.5217391304347826
n5;2259;0.12;0.6818181818181818;2007;0.11568123393316196;0.6818181818181818;2191;0.1220159151193634;0.696969696969697;2267;0.11139240506329114;0.6666666666666666
n6;1183;0.15087719298245614;0.5512820512820513;1143;0.15579710144927536;0.5512820512820513;1142;0.15302491103202848;0.5512820512820513;1099;0.15925925925925927;0.5512820512820513
n7;776;0.19889502762430938;0.8;866;0.19796954314720813;0.8666666666666667;841;0.2;0.8444444444444444;845;0.17647058823529413;0.7333333333333333
n8;763;0.14056224899598393;0.5737704918032787;826;0.13857677902621723;0.6065573770491803;518;0.19883040935672514;0.5573770491803278;366;0.208;0.4262295081967213
n9;3224;0.05725971370143149;0.6829268292682927;2976;0.05714285714285714;0.6829268292682927;3391;0.055776892430278883;0.6829268292682927;3536;0.05719921104536489;0.7073170731707317
n10;631;0.009009009009009009;0.09090909090909091;2232;0.0027434842249657062;0.09090909090909091;4160;0.0015661707126076742;0.09090909090909091;2773;0.002333722287047841;0.09090909090909091
n11;2453;0.0;0.0;818;0.17766497461928935;0.7142857142857143;920;0.14953271028037382;0.6530612244897959;928;0.12831858407079647;0.5918367346938775
n12;3400;0.03826955074875208;0.42592592592592593;3224;0.03614457831325301;0.3888888888888889;3360;0.047540983606557376;0.5370370370370371;3084;0.03816793893129771;0.37037037037037035
n13;2216;0.14184397163120568;0.625;2231;0.14018691588785046;0.625;2214;0.14150943396226415;0.625;2312;0.14153132250580047;0.6354166666666666
n14;3219;0.0;0.0;4438;0.002421307506053269;0.3333333333333333;4402;0.006201550387596899;0.8888888888888888;1021;0.041237113402061855;0.8888888888888888
n15;575;0.08839779005524862;0.5517241379310345;630;0.09782608695652174;0.6206896551724138;604;0.07329842931937172;0.4827586206896552;571;0.09580838323353294;0.5517241379310345
