Levenshtein; Jaccard; Overlap
n1;2165;0.009174311926605505;0.07368421052631578
n2;492;0.028901734104046242;0.07246376811594203
n3;500;0;0
n4;1610;0.07207207207207207;0.5217391304347826
n5;2267;0.11139240506329114;0.6666666666666666
n6;1099;0.15925925925925927;0.5512820512820513
n7;845;0.17647058823529413;0.7333333333333333
n8;366;0.208;0.4262295081967213
n9;3536;0.05719921104536489;0.7073170731707317
n10;2773;0.002333722287047841;0.09090909090909091
n11;928;0.12831858407079647;0.5918367346938775
n12;3084;0.03816793893129771;0.37037037037037035
n13;2312;0.14153132250580047;0.6354166666666666
n14;1021;0.041237113402061855;0.8888888888888888
n15;571;0.09580838323353294;0.5517241379310345
n16;3639;0.024963289280469897;0.2698412698412698
n17;589;0.05405405405405406;0.20408163265306123
n18;907;0.12017167381974249;0.5714285714285714
n19;754;0.1031390134529148;0.4339622641509434
n20;2342;0.01092896174863388;0.11764705882352941
n21;163;0.0;0.0
n22;358;0.2916666666666667;0.8235294117647058
n23;152;0.0;0.0
n24;849;0.0;0.0
n25;410;0.10869565217391304;0.2631578947368421
n26;468;0.19708029197080293;0.6
n27;855;0.24731182795698925;0.6052631578947368
n28;3172;0.01342882721575649;0.2631578947368421
n29;505;0.10179640718562874;0.37777777777777777
n30;461;0.04375;0.15555555555555556
n31;532;0.12883435582822086;0.42857142857142855
n32;149;0.0;0.0
n33;987;0.016853932584269662;0.75
n34;1387;0.12080536912751678;0.9473684210526315
n35;198;0.0;0.0
n36;1027;0.00390625;0.02702702702702703
n37;857;0.015267175572519083;0.2857142857142857
n38;841;0.037037037037037035;0.7142857142857143
n39;1107;0.07253886010362694;0.8235294117647058
n40;797;0.0;0.0
n41;545;0.22794117647058823;0.6739130434782609
n42;546;0.28289473684210525;0.6935483870967742
n43;543;0.15476190476190477;0.6046511627906976
n44;783;0.12359550561797752;0.6285714285714286
n45;780;0.13846153846153847;0.6585365853658537
n46;1617;0.045112781954887216;0.4444444444444444
n47;722;0.02843601895734597;0.24
n48;557;0.0;0.0
n49;728;0.033707865168539325;0.24
n50;383;0.08163265306122448;0.32
n51;505;0.20192307692307693;0.84
n52;687;0.16058394160583941;0.9166666666666666
n53;659;0.19607843137254902;0.7692307692307693
n54;787;0.1853932584269663;0.7857142857142857
n55;781;0.12658227848101267;0.6451612903225806
n56;571;0.1643835616438356;0.5714285714285714
n57;526;0.2764227642276423;0.8292682926829268
n58;895;0.005714285714285714;0.0425531914893617
n59;4066;0.0;0.0
n60;285;0.1891891891891892;0.9333333333333333
n61;2069;0.061170212765957445;0.8214285714285714
n62;909;0.06329113924050633;0.22058823529411764
n63;2273;0.040160642570281124;0.4166666666666667
n64;1371;0.07251908396946564;0.7307692307692307
n65;1948;0.046052631578947366;0.6666666666666666
n66;658;0.08496732026143791;0.41935483870967744
n67;1091;0.09289617486338798;0.9444444444444444
n68;609;0.025;0.16
