Levenshtein; Jaccard; Overlap
n1;7544;0.001153846153846154;0.031578947368421054
n2;490;0.043209876543209874;0.10144927536231885
n3;1261;0.1183206106870229;0.5254237288135594
n4;1441;0.05956112852664577;0.41304347826086957
n5;2007;0.11568123393316196;0.6818181818181818
n6;1143;0.15579710144927536;0.5512820512820513
n7;866;0.19796954314720813;0.8666666666666667
n8;826;0.13857677902621723;0.6065573770491803
n9;2976;0.05714285714285714;0.6829268292682927
n10;2232;0.0027434842249657062;0.09090909090909091
n11;818;0.17766497461928935;0.7142857142857143
n12;3224;0.03614457831325301;0.3888888888888889
n13;2231;0.14018691588785046;0.625
n14;4438;0.002421307506053269;0.3333333333333333
n15;630;0.09782608695652174;0.6206896551724138
n16;4080;0.025;0.2857142857142857
n17;1619;0.033216783216783216;0.3877551020408163
n18;1066;0.08223684210526316;0.5102040816326531
n19;578;0.11917098445595854;0.4339622641509434
n20;2336;0.010050251256281407;0.11764705882352941
n21;1263;0.0064516129032258064;0.08333333333333333
n22;354;0.29347826086956524;0.7941176470588235
n23;296;0.0;0.0
n24;911;0.046153846153846156;0.2
n25;426;0.025906735751295335;0.08771929824561403
n26;432;0.2283464566929134;0.6444444444444445
n27;844;0.2379182156133829;0.5614035087719298
n28;3571;0.0014577259475218659;0.03508771929824561
n29;443;0.10828025477707007;0.37777777777777777
n30;548;0.07065217391304347;0.28888888888888886
n31;544;0.1005586592178771;0.3673469387755102
n32;263;0.0;0.0
n33;932;0.02097902097902098;0.75
n34;1566;0.030848329048843187;0.3157894736842105
n35;198;0.010638297872340425;0.03571428571428571
n36;1271;0.06477732793522267;0.43243243243243246
n37;891;0.02097902097902098;0.42857142857142855
n38;843;0.045112781954887216;0.8571428571428571
n39;1147;0.07246376811594203;0.8823529411764706
n40;863;0.0;0.0
n41;3395;0.0;0.0
n42;541;0.27631578947368424;0.6774193548387096
n43;3619;0.0;0.0
n44;803;0.08415841584158416;0.4857142857142857
n45;732;0.12299465240641712;0.5609756097560976
n46;1523;0.0703125;0.6666666666666666
n47;742;0.09467455621301775;0.64
n48;920;0.22330097087378642;0.7540983606557377
n49;829;0.06547619047619048;0.44
n50;403;0.21978021978021978;0.8
n51;576;0.1694915254237288;0.8
n52;724;0.13924050632911392;0.9166666666666666
n53;727;0.18292682926829268;0.7692307692307693
n54;769;0.18497109826589594;0.7619047619047619
n55;666;0.1610738255033557;0.7741935483870968
