ID;PSM1 Lev;PSM1 Jac;PSM1 Ove;PSM3 Lev;PSM3 Jac;PSM3 Ove;PSM6 Lev;PSM6 Jac;PSM6 Ove;PSM11 Lev;PSM11 Jac;PSM11 Ove;PSM12 Lev;PSM12 Jac;PSM12 Ove
n1;921;0.25396825396825395;0.6736842105263158;921;0.25396825396825395;0.6736842105263158;946;0.23193916349809887;0.6421052631578947;1013;0.1986062717770035;0.6;1009;0.1993006993006993;0.6
n2;302;0.2283464566929134;0.42028985507246375;302;0.2283464566929134;0.42028985507246375;544;0.15675675675675677;0.42028985507246375;432;0.19607843137254902;0.43478260869565216;427;0.1986754966887417;0.43478260869565216
n3;503;0;0;503;0;0;503;0;0;502;0;0;500;0.0;0.0
n4;424;0;0;424;0;0;1489;0.0912280701754386;0.5652173913043478;1241;0.09716599190283401;0.5217391304347826;1203;0.0995850622406639;0.5217391304347826
n5;2092;0.12396694214876033;0.6818181818181818;2092;0.12396694214876033;0.6818181818181818;2259;0.12;0.6818181818181818;2118;0.12096774193548387;0.6818181818181818;2128;0.12096774193548387;0.6818181818181818
n6;1072;0.16796875;0.5512820512820513;1072;0.16796875;0.5512820512820513;1183;0.15087719298245614;0.5512820512820513;1110;0.16602316602316602;0.5512820512820513;1102;0.16796875;0.5512820512820513
n7;732;0.25675675675675674;0.8444444444444444;732;0.25675675675675674;0.8444444444444444;776;0.19889502762430938;0.8;824;0.22560975609756098;0.8222222222222222;801;0.24025974025974026;0.8222222222222222
n8;837;0.13533834586466165;0.5901639344262295;837;0.13533834586466165;0.5901639344262295;763;0.14056224899598393;0.5737704918032787;746;0.18226600985221675;0.6065573770491803;711;0.1791044776119403;0.5901639344262295
n9;2456;0.002793296089385475;0.024390243902439025;2456;0.002793296089385475;0.024390243902439025;3224;0.05725971370143149;0.6829268292682927;3561;0.06526315789473684;0.7560975609756098;3548;0.06553911205073996;0.7560975609756098
n10;187;0;0;187;0;0;631;0.009009009009009009;0.09090909090909091;167;0.03125;0.09090909090909091;159;0.024390243902439025;0.05
n11;458;0;0;458;0;0;2453;0.0;0.0;917;0.0;0.0;871;0.0;0.0
n12;2628;0.046341463414634146;0.35185185185185186;2628;0.046341463414634146;0.35185185185185186;3400;0.03826955074875208;0.42592592592592593;2970;0.05161290322580645;0.4444444444444444;2978;0.05150214592274678;0.4444444444444444
n13;2072;0.15228426395939088;0.625;2072;0.15228426395939088;0.625;2216;0.14184397163120568;0.625;2577;0.12742980561555076;0.6145833333333334;2579;0.12688172043010754;0.6145833333333334
n14;861;0.050359712230215826;0.7777777777777778;861;0.050359712230215826;0.7777777777777778;3219;0.0;0.0;3350;0.010385756676557863;0.7777777777777778;3273;0.0110062893081761;0.7777777777777778
n15;293;0.22784810126582278;0.6206896551724138;293;0.22784810126582278;0.6206896551724138;575;0.08839779005524862;0.5517241379310345;384;0.17;0.5862068965517241;407;0.16666666666666666;0.5862068965517241
n16;2038;0.05370843989769821;0.3333333333333333;2038;0.05370843989769821;0.3333333333333333;4311;0.021170610211706103;0.2698412698412698;4890;0.03259452411994785;0.3968253968253968;4834;0.033156498673740056;0.3968253968253968
n17;461;0.1037037037037037;0.2857142857142857;461;0.1037037037037037;0.2857142857142857;771;0.06557377049180328;0.32653061224489793;764;0.09405940594059406;0.3877551020408163;739;0.09743589743589744;0.3877551020408163
n18;390;0.17054263565891473;0.4489795918367347;390;0.17054263565891473;0.4489795918367347;780;0.11848341232227488;0.5102040816326531;984;0.09913793103448276;0.46938775510204084;967;0.09913793103448276;0.46938775510204084
