PSM12 Levenshtein; PSM12 Jaccard; PSM12 Overlap
n1;1009;0.1993006993006993;0.6
n2;427;0.1986754966887417;0.43478260869565216
n3;500;0.0;0.0
n4;1203;0.0995850622406639;0.5217391304347826
n5;2128;0.12096774193548387;0.6818181818181818
n6;1102;0.16796875;0.5512820512820513
n7;801;0.24025974025974026;0.8222222222222222
n8;711;0.1791044776119403;0.5901639344262295
n9;3548;0.06553911205073996;0.7560975609756098
n10;159;0.024390243902439025;0.05
n11;871;0.0;0.0
n12;2978;0.05150214592274678;0.4444444444444444
n13;2579;0.12688172043010754;0.6145833333333334
n14;3273;0.0110062893081761;0.7777777777777778
n15;407;0.16666666666666666;0.5862068965517241
n16;4834;0.033156498673740056;0.3968253968253968
n17;739;0.09743589743589744;0.3877551020408163
n18;967;0.09913793103448276;0.46938775510204084
n19;836;0.15196078431372548;0.5849056603773585
n20;2484;0.011142061281337047;0.11764705882352941
n21;167;0.0;0.0
n22;423;0.25773195876288657;0.7352941176470589
n23;240;0.0;0.0
n24;428;0.0;0.0
n25;416;0.031746031746031744;0.07017543859649122
n26;453;0.23770491803278687;0.6444444444444445
n27;734;0.2967479674796748;0.6403508771929824
n28;3295;0.0022727272727272726;0.03508771929824561
n29;390;0.1016949152542373;0.26666666666666666
n30;515;0.08609271523178808;0.28888888888888886
n31;447;0.18181818181818182;0.4489795918367347
n32;429;0.008547008547008548;0.07142857142857142
n33;1060;0.02702702702702703;1.0
n34;1210;0.033783783783783786;0.2631578947368421
n35;194;0.02040816326530612;0.045454545454545456
n36;292;0.00980392156862745;0.02702702702702703
n37;720;0.042105263157894736;0.5714285714285714
n38;820;0.03968253968253968;0.7142857142857143
n39;1144;0.08379888268156424;0.8823529411764706
n40;824;0.006369426751592357;0.02631578947368421
n41;2316;0.0;0.0
n42;569;0.2641509433962264;0.6774193548387096
n43;1519;0.0;0.0
n44;785;0.14285714285714285;0.6571428571428571
n45;672;0.1987179487179487;0.7560975609756098
n46;1568;0.11013215859030837;0.9259259259259259
n47;630;0.14393939393939395;0.76
n48;820;0.23497267759562843;0.7049180327868853
n49;913;0.08875739644970414;0.6
n50;538;0.17592592592592593;0.76
n51;600;0.16666666666666666;0.76
n52;843;0.1337579617834395;0.875
n53;881;0.14136125654450263;0.6923076923076923
n54;922;0.14553990610328638;0.7380952380952381
n55;828;0.12738853503184713;0.6451612903225806
n56;879;0.0;0.0
n57;707;0.17333333333333334;0.6341463414634146
n58;1754;0.0021691973969631237;0.02127659574468085
n59;835;0.0;0.0
n60;154;0.42424242424242425;0.9333333333333333
n61;1722;0.06422018348623854;0.75
n62;833;0.17326732673267325;0.5147058823529411
n63;2125;0.05569620253164557;0.4583333333333333
n64;676;0.03125;0.19230769230769232
n65;2020;0.05423728813559322;0.7619047619047619
n66;995;0.021367521367521368;0.16129032258064516
n67;1016;0.03;0.3333333333333333
n68;1185;0.07727272727272727;0.68
n69;938;0.08021390374331551;0.46875
n70;1372;0.14619883040935672;0.5208333333333334
n71;2573;0.072992700729927;0.6
n72;2648;0.08638743455497382;0.75
n73;4195;0.04918032786885246;0.75
n74;692;0.08870967741935484;0.7333333333333333
n75;486;0.1262135922330097;0.7647058823529411
n76;485;0.15463917525773196;0.9375
n77;944;0.07741935483870968;0.5714285714285714
n78;1209;0.08421052631578947;0.5517241379310345
n79;1165;0.0219435736677116;0.1346153846153846
n80;1235;0.09663865546218488;0.6216216216216216
n81;1279;0.04433497536945813;0.6923076923076923
n82;1582;0.08679245283018867;0.696969696969697
n83;1621;0.08614232209737828;0.696969696969697
n84;1381;0.07883817427385892;0.6551724137931034
n85;1638;0.12355212355212356;0.8648648648648649
n86;996;0.09333333333333334;0.4666666666666667
n87;902;0.10416666666666667;0.5
n88;1501;0.12903225806451613;0.7804878048780488
n89;1591;0.099644128113879;0.6086956521739131
n90;165;0.0;0.0
n91;2577;0.026595744680851064;0.5882352941176471
n92;570;0.09433962264150944;0.8333333333333334
n93;4345;0.015220700152207;0.37037037037037035
n94;2373;0.11186440677966102;0.8461538461538461
n95;3298;0.036072144288577156;0.72
n96;609;0.0;0.0
n97;1499;0.13513513513513514;0.967741935483871
n98;166;0.0;0.0
n99;1745;0.08602150537634409;0.6486486486486487
n100;1608;0.112;0.7368421052631579
v1;241;0.3392857142857143;0.9047619047619048
v2;2305;0.027548209366391185;0.625
v3;1114;0.025477707006369428;0.4444444444444444
v4;422;0.0;0.0
v5;1599;0.037914691943127965;1.0
v6;1413;0.06177606177606178;0.5333333333333333
v7;3849;0.08514492753623189;0.734375
v8;3791;0.08955223880597014;0.75
v9;770;0.16;0.8695652173913043
v10;528;0.27522935779816515;0.9090909090909091
v11;2719;0.07823960880195599;0.7619047619047619
v12;313;0.0;0.0
v13;2470;0.05080213903743316;0.6785714285714286
v14;365;0.0;0.0
v15;1998;0.046263345195729534;0.7222222222222222
v16;815;0.16230366492146597;0.7209302325581395
v17;967;0.14883720930232558;0.7441860465116279
v18;1686;0.0;0.0
v19;3364;0.047337278106508875;0.7272727272727273
v20;2185;0.005865102639296188;0.08695652173913043
v21;859;0.0;0.0
v22;120;0.47761194029850745;0.7111111111111111
v23;1822;0.08035714285714286;0.6
v24;229;0.0;0.0
v25;392;0.054945054945054944;0.3125
v26;529;0.10810810810810811;0.75
v27;1392;0.03940886699507389;0.7272727272727273
v28;1552;0.05286343612334802;0.8571428571428571
v29;1630;0.04700854700854701;0.7857142857142857
v30;1961;0.033444816053511704;0.6666666666666666
v31;789;0.1565217391304348;0.8571428571428571
v32;3676;0.007416563658838072;0.13953488372093023
v33;576;0.08823529411764706;0.6428571428571429
v34;1626;0.08571428571428572;0.9130434782608695
v35;457;0.21568627450980393;0.8461538461538461
v36;814;0.17164179104477612;0.8846153846153846
