PSM13 Levenshtein; PSM13 Jaccard; PSM13 Overlap
n1;840;0.0;0.0
n2;611;0.0;0.0
n3;501;0.0;0.0
n4;421;0.0;0.0
n5;593;0.0;0.0
n6;706;0;0
n7;384;0.0;0.0
n8;560;0.0;0.0
n9;358;0.0;0.0
n10;187;0;0
n11;456;0.0;0.0
n12;460;0.0;0.0
n13;793;0.0;0.0
n14;80;0.0;0.0
n15;256;0.0;0.0
n16;556;0.0;0.0
n17;405;0.0;0.0
n18;409;0;0
n19;470;0.0;0.0
n20;288;0.0;0.0
n21;187;0.0;0.0
n22;278;0.0;0.0
n23;151;0.0;0.0
n24;515;0.0;0.0
n25;488;0.0;0.0
n26;370;0.0;0.0
n27;1121;0.0;0.0
n28;495;0.0;0.0
n29;406;0.0;0.0
n30;406;0.0;0.0
n31;428;0;0
n32;103;0.0;0.0
n33;34;0;0
n34;327;0.0;0.0
n35;226;0.0;0.0
n36;316;0.0;0.0
n37;72;0.0;0.0
n38;73;0.0;0.0
n39;152;0.0;0.0
n40;364;0.0;0.0
n41;433;0.0;0.0
n42;554;0.0;0.0
n43;369;0;0
n44;303;0.0;0.0
n45;370;0;0
n46;246;0.0;0.0
n47;198;0.0;0.0
n48;559;0.0;0.0
n49;210;0.0;0.0
n50;210;0.0;0.0
n51;209;0.0;0.0
n52;224;0.0;0.0
n53;363;0.0;0.0
n54;371;0.0;0.0
n55;300;0.0;0.0
n56;395;0.0;0.0
n57;362;0.0;0.0
n58;418;0.0;0.0
n59;296;0;0
n60;124;0.0;0.0
n61;232;0.0;0.0
n62;685;0;0
n63;482;0;0
n64;218;0.0;0.0
n65;165;0.0;0.0
n66;307;0.0;0.0
n67;159;0.0;0.0
n68;195;0.0;0.0
n69;308;0.0;0.0
n70;891;0.0;0.0
n71;418;0.0;0.0
n72;373;0.0;0.0
n73;329;0.0;0.0
n74;130;0.0;0.0
n75;132;0.0;0.0
n76;122;0.0;0.0
n77;176;0.0;0.0
n78;238;0.0;0.0
n79;474;0;0
n80;319;0.0;0.0
n81;106;0;0
n82;290;0.0;0.0
n83;279;0.0;0.0
n84;225;0.0;0.0
n85;311;0.0;0.0
n86;376;0.0;0.0
n87;338;0.0;0.0
n88;361;0.0;0.0
n89;399;0.0;0.0
n90;172;0.0;0.0
n91;138;0.0;0.0
n92;101;0.0;0.0
n93;233;0.0;0.0
n94;342;0.0;0.0
n95;224;0.0;0.0
n96;349;0;0
n97;261;0.0;0.0
n98;186;0.0;0.0
n99;355;0.0;0.0
n100;353;0;0
v1;186;0.0;0.0
v2;123;0.0;0.0
v3;76;0.0;0.0
v4;473;0.0;0.0
v5;61;0.0;0.0
v6;290;0.0;0.0
v7;570;0.0;0.0
v8;571;0.0;0.0
v9;227;0.0;0.0
v10;284;0.0;0.0
v11;352;0.0;0.0
v12;335;0.0;0.0
v13;242;0.0;0.0
v14;427;0.0;0.0
v15;152;0.0;0.0
v16;399;0.0;0.0
v17;399;0.0;0.0
v18;97;0.0;0.0
v19;293;0.0;0.0
v20;168;0.0;0.0
v21;153;0.0;0.0
v22;380;0.0;0.0
v23;381;0;0
v24;122;0.0;0.0
v25;122;0.0;0.0
v26;123;0;0
v27;83;0.0;0.0
v28;100;0.0;0.0
v29;99;0.0;0.0
v30;116;0;0
v31;153;0;0
v32;401;0;0
v33;96;0.0;0.0
v34;186;0.0;0.0
v35;207;0.0;0.0
v36;198;0;0
v37;218;0.0;0.0
v38;73;0.0;0.0
v39;42;0.0;0.0
v40;42;0.0;0.0
v41;92;0.0;0.0
v42;169;0.0;0.0
v43;206;0.0;0.0
v44;37;0.0;0.0
v45;28;0.0;0.0
v46;138;0.0;0.0
v47;136;0.0;0.0
v48;361;0.0;0.0
v49;121;0;0
v50;206;0;0
v51;206;0.0;0.0
v52;241;0.0;0.0
v53;99;0.0;0.0
v54;224;0.0;0.0
v55;264;0.0;0.0
v56;304;0.0;0.0
v57;43;0.0;0.0
v58;139;0;0
v59;198;0.0;0.0
v60;176;0.0;0.0
v61;459;0.0;0.0
v62;458;0.0;0.0
v63;110;0.0;0.0
v64;84;0.0;0.0
v65;69;0;0
v66;83;0.0;0.0
v67;57;0.0;0.0
v68;45;0.0;0.0
v69;405;0.0;0.0
v70;27;0.0;0.0
v71;390;0.0;0.0
v72;295;0.0;0.0
v73;202;0.0;0.0
v74;257;0.0;0.0
v75;302;0.0;0.0
v76;238;0.0;0.0
v77;121;0.0;0.0
v78;70;0.0;0.0
v79;62;0.0;0.0
v80;137;0.0;0.0
v81;138;0.0;0.0
v82;162;0.0;0.0
v83;157;0.0;0.0
v84;139;0;0
v85;156;0.0;0.0
v86;54;0.0;0.0
v87;225;0.0;0.0
v88;103;0.0;0.0
v89;100;0.0;0.0
v90;300;0.0;0.0
v91;82;0.0;0.0
v92;90;0.0;0.0
v93;272;0.0;0.0
v94;317;0.0;0.0
v95;319;0;0
v96;168;0.0;0.0
v97;227;0.0;0.0
v98;273;0.0;0.0
v99;259;0.03571428571428571;1.0
v100;284;0.0;0.0
