ID;original Lev;original Jac;original Ove; B&W Lev;B&W Jac;B&W Ove;GS Lev;GS Jac;GS Ove;GS noise remove Lev;GS noise remove Jac;GS noise remove Ove;BG remove Lev;BG remove Jac;BG remove Ove;BG remove + BW Lev;BG remove + BW Jac;BG remove + BW Ove;BG remove + GS Lev;BG remove + GS Jac;BG remove + GS Ove;Noise remove Lev;Noise remove Jac;Noise remove Ove
n1;946;0.23193916349809887;0.6421052631578947;7544;0.001153846153846154;0.031578947368421054;809;0.0;0.0;819;0.0;0.0;2165;0.009174311926605505;0.07368421052631578;975;0.24521072796934865;0.6736842105263158;793;0.0;0.0;970;0.22761194029850745;0.6421052631578947
n2;544;0.15675675675675677;0.42028985507246375;490;0.043209876543209874;0.10144927536231885;541;0.13186813186813187;0.34782608695652173;382;0.2867647058823529;0.5652173913043478;492;0.028901734104046242;0.07246376811594203;508;0.01694915254237288;0.043478260869565216;484;0.029411764705882353;0.07246376811594203;486;0.15527950310559005;0.36231884057971014
n3;503;0;0;1261;0.1183206106870229;0.5254237288135594;495;0.0;0.0;500;0.0;0.0;500;0;0;499;0;0;500;0;0;500;0.0;0.0
n4;1489;0.0912280701754386;0.5652173913043478;1441;0.05956112852664577;0.41304347826086957;1141;0.1059322033898305;0.5434782608695652;1452;0.08710801393728224;0.5434782608695652;1610;0.07207207207207207;0.5217391304347826;1518;0.07120743034055728;0.5;1598;0.07165109034267912;0.5;1449;0.08602150537634409;0.5217391304347826
n5;2259;0.12;0.6818181818181818;2007;0.11568123393316196;0.6818181818181818;2191;0.1220159151193634;0.696969696969697;1999;0.10761154855643044;0.6212121212121212;2267;0.11139240506329114;0.6666666666666666;2243;0.11538461538461539;0.6818181818181818;2243;0.11508951406649616;0.6818181818181818;2279;0.11597938144329897;0.6818181818181818
n6;1183;0.15087719298245614;0.5512820512820513;1143;0.15579710144927536;0.5512820512820513;1142;0.15302491103202848;0.5512820512820513;1066;0.16602316602316602;0.5512820512820513;1099;0.15925925925925927;0.5512820512820513;1127;0.15693430656934307;0.5512820512820513;1069;0.16538461538461538;0.5512820512820513;1088;0.16538461538461538;0.5512820512820513
n7;776;0.19889502762430938;0.8;866;0.19796954314720813;0.8666666666666667;841;0.2;0.8444444444444444;841;0.1956521739130435;0.8;845;0.17647058823529413;0.7333333333333333;846;0.1837837837837838;0.7555555555555555;891;0.1724137931034483;0.7777777777777778;804;0.19101123595505617;0.7555555555555555
n8;763;0.14056224899598393;0.5737704918032787;826;0.13857677902621723;0.6065573770491803;518;0.19883040935672514;0.5573770491803278;626;0.20304568527918782;0.6557377049180327;366;0.208;0.4262295081967213;401;0.26277372262773724;0.5901639344262295;441;0.2;0.4918032786885246;369;0.3135593220338983;0.6065573770491803
n9;3224;0.05725971370143149;0.6829268292682927;2976;0.05714285714285714;0.6829268292682927;3391;0.055776892430278883;0.6829268292682927;3480;0.05719921104536489;0.7073170731707317;3536;0.05719921104536489;0.7073170731707317;3639;0.053231939163498096;0.6829268292682927;3524;0.05731225296442688;0.7073170731707317;3389;0.056451612903225805;0.6829268292682927
n10;631;0.009009009009009009;0.09090909090909091;2232;0.0027434842249657062;0.09090909090909091;4160;0.0015661707126076742;0.09090909090909091;1558;0.004338394793926247;0.09090909090909091;2773;0.002333722287047841;0.09090909090909091;3380;0.0017497812773403325;0.09090909090909091;2831;0.002331002331002331;0.09090909090909091;167;0.03125;0.09090909090909091
n11;2453;0.0;0.0;818;0.17766497461928935;0.7142857142857143;920;0.14953271028037382;0.6530612244897959;851;0.16753926701570682;0.6530612244897959;928;0.12831858407079647;0.5918367346938775;656;0.016877637130801686;0.08163265306122448;940;0.13777777777777778;0.6326530612244898;571;0.005208333333333333;0.02040816326530612
n12;3400;0.03826955074875208;0.42592592592592593;3224;0.03614457831325301;0.3888888888888889;3360;0.047540983606557376;0.5370370370370371;2992;0.042;0.3888888888888889;3084;0.03816793893129771;0.37037037037037035;3115;0.0521415270018622;0.5185185185185185;3066;0.03551401869158879;0.35185185185185186;3073;0.05162523900573614;0.5
n13;2216;0.14184397163120568;0.625;2231;0.14018691588785046;0.625;2214;0.14150943396226415;0.625;2204;0.14218009478672985;0.625;2312;0.14153132250580047;0.6354166666666666;2255;0.14386792452830188;0.6354166666666666;2242;0.14186046511627906;0.6354166666666666;2203;0.14218009478672985;0.625
n14;3219;0.0;0.0;4438;0.002421307506053269;0.3333333333333333;4402;0.006201550387596899;0.8888888888888888;2335;0.0;0.0;1021;0.041237113402061855;0.8888888888888888;1470;0.018018018018018018;0.6666666666666666;1009;0.04040404040404041;0.8888888888888888;1127;0.030973451327433628;0.7777777777777778
n15;575;0.08839779005524862;0.5517241379310345;630;0.09782608695652174;0.6206896551724138;604;0.07329842931937172;0.4827586206896552;554;0.11875;0.6551724137931034;571;0.09580838323353294;0.5517241379310345;562;0.0949367088607595;0.5172413793103449;585;0.09467455621301775;0.5517241379310345;550;0.08641975308641975;0.4827586206896552
n16;4311;0.021170610211706103;0.2698412698412698;4080;0.025;0.2857142857142857;4209;0.026499302649930265;0.30158730158730157;4305;0.02553191489361702;0.2857142857142857;3639;0.024963289280469897;0.2698412698412698;2972;0.021487603305785124;0.20634920634920634;3658;0.024890190336749635;0.2698412698412698;4240;0.03138373751783167;0.3492063492063492
n17;771;0.06557377049180328;0.32653061224489793;1619;0.033216783216783216;0.3877551020408163;825;0.11814345991561181;0.5714285714285714;653;0.14754098360655737;0.5510204081632653;589;0.05405405405405406;0.20408163265306123;582;0.06557377049180328;0.24489795918367346;589;0.05291005291005291;0.20408163265306123;762;0.09090909090909091;0.40816326530612246
n18;780;0.11848341232227488;0.5102040816326531;1066;0.08223684210526316;0.5102040816326531;829;0.12280701754385964;0.5714285714285714;810;0.1477832512315271;0.6122448979591837;907;0.12017167381974249;0.5714285714285714;877;0.1509433962264151;0.6530612244897959;874;0.14027149321266968;0.6326530612244898;755;0.13829787234042554;0.5306122448979592
n19;896;0.07723577235772358;0.3584905660377358;578;0.11917098445595854;0.4339622641509434;951;0.12030075187969924;0.6037735849056604;574;0.08854166666666667;0.32075471698113206;754;0.1031390134529148;0.4339622641509434;762;0.09375;0.39622641509433965;773;0.08771929824561403;0.37735849056603776;767;0.0931174089068826;0.4339622641509434
n20;2393;0.010810810810810811;0.11764705882352941;2336;0.010050251256281407;0.11764705882352941;2404;0.010075566750629723;0.11764705882352941;2366;0.0110803324099723;0.11764705882352941;2342;0.01092896174863388;0.11764705882352941;2334;0.01098901098901099;0.11764705882352941;2311;0.011019283746556474;0.11764705882352941;2342;0.011560693641618497;0.11764705882352941
n21;162;0.0;0.0;1263;0.0064516129032258064;0.08333333333333333;1574;0.042042042042042045;0.5833333333333334;1275;0.05220883534136546;0.5416666666666666;163;0.0;0.0;1194;0.0;0.0;1440;0.007936507936507936;0.125;184;0.0;0.0
n22;470;0.226890756302521;0.7941176470588235;354;0.29347826086956524;0.7941176470588235;363;0.2903225806451613;0.7941176470588235;410;0.2621359223300971;0.7941176470588235;358;0.2916666666666667;0.8235294117647058;380;0.28865979381443296;0.8235294117647058;410;0.2616822429906542;0.8235294117647058;398;0.27;0.7941176470588235
n23;397;0.0;0.0;296;0.0;0.0;406;0.0;0.0;168;0.0;0.0;152;0.0;0.0;993;0.0;0.0;204;0.0;0.0;172;0.0;0.0
n24;460;0.0;0.0;911;0.046153846153846156;0.2;713;0.0037735849056603774;0.016666666666666666;420;0.006711409395973154;0.016666666666666666;849;0.0;0.0;944;0.0029154518950437317;0.016666666666666666;1105;0.0;0.0;439;0.0;0.0
n25;882;0.012461059190031152;0.07017543859649122;426;0.025906735751295335;0.08771929824561403;629;0.06637168141592921;0.2631578947368421;336;0.12612612612612611;0.24561403508771928;410;0.10869565217391304;0.2631578947368421;356;0.08928571428571429;0.17543859649122806;414;0.05263157894736842;0.14035087719298245;384;0.06818181818181818;0.15789473684210525
n26;516;0.1875;0.6;432;0.2283464566929134;0.6444444444444445;515;0.18620689655172415;0.6;462;0.21052631578947367;0.6222222222222222;468;0.19708029197080293;0.6;477;0.19852941176470587;0.6;463;0.20149253731343283;0.6;489;0.19708029197080293;0.6
n27;804;0.27238805970149255;0.6403508771929824;844;0.2379182156133829;0.5614035087719298;945;0.25;0.5701754385964912;925;0.21710526315789475;0.5789473684210527;855;0.24731182795698925;0.6052631578947368;840;0.2465753424657534;0.631578947368421;1028;0.20489296636085627;0.5877192982456141;740;0.2720306513409962;0.6228070175438597
n28;5243;0.0011661807580174927;0.03508771929824561;3571;0.0014577259475218659;0.03508771929824561;4470;0.005326231691078562;0.14035087719298245;504;0.2971014492753623;0.7192982456140351;3172;0.01342882721575649;0.2631578947368421;3035;0.011828935395814377;0.22807017543859648;3179;0.013333333333333334;0.2631578947368421;412;0.01875;0.05263157894736842
n29;420;0.1366906474820144;0.4222222222222222;443;0.10828025477707007;0.37777777777777777;547;0.12048192771084337;0.4444444444444444;516;0.12987012987012986;0.4444444444444444;505;0.10179640718562874;0.37777777777777777;532;0.10365853658536585;0.37777777777777777;517;0.10059171597633136;0.37777777777777777;404;0.1056338028169014;0.3333333333333333
n30;589;0.08163265306122448;0.35555555555555557;548;0.07065217391304347;0.28888888888888886;511;0.08379888268156424;0.3333333333333333;545;0.08187134502923976;0.3111111111111111;461;0.04375;0.15555555555555556;616;0.04390243902439024;0.2;527;0.04864864864864865;0.2;427;0.07586206896551724;0.24444444444444444
n31;371;0.2047244094488189;0.5306122448979592;544;0.1005586592178771;0.3673469387755102;750;0.11013215859030837;0.5102040816326531;467;0.14583333333333334;0.42857142857142855;532;0.12883435582822086;0.42857142857142855;630;0.11560693641618497;0.40816326530612246;531;0.12962962962962962;0.42857142857142855;391;0.18548387096774194;0.46938775510204084
n32;1276;0.004784688995215311;0.14285714285714285;263;0.0;0.0;267;0.010752688172043012;0.07142857142857142;141;0.0;0.0;149;0.0;0.0;247;0.0;0.0;270;0.0;0.0;181;0.0;0.0
n33;1037;0.017964071856287425;0.75;932;0.02097902097902098;0.75;932;0.021739130434782608;0.75;972;0.0196078431372549;0.75;987;0.016853932584269662;0.75;970;0.01764705882352941;0.75;910;0.01948051948051948;0.75;994;0.024844720496894408;1.0
n34;1951;0.029535864978902954;0.3684210526315789;1566;0.030848329048843187;0.3157894736842105;1494;0.04838709677419355;0.47368421052631576;1336;0.11409395973154363;0.8947368421052632;1387;0.12080536912751678;0.9473684210526315;1453;0.11437908496732026;0.9210526315789473;1388;0.11688311688311688;0.9473684210526315;803;0.02403846153846154;0.13157894736842105
n35;196;0.0;0.0;198;0.010638297872340425;0.03571428571428571;243;0.0;0.0;222;0.0;0.0;198;0.0;0.0;190;0.0;0.0;197;0.0;0.0;222;0.0;0.0
