Levenshtein; Jaccard; Overlap
n1;809;0.0;0.0
n2;541;0.13186813186813187;0.34782608695652173
n3;495;0.0;0.0
n4;1141;0.1059322033898305;0.5434782608695652
n5;2191;0.1220159151193634;0.696969696969697
n6;1142;0.15302491103202848;0.5512820512820513
n7;841;0.2;0.8444444444444444
n8;518;0.19883040935672514;0.5573770491803278
n9;3391;0.055776892430278883;0.6829268292682927
n10;4160;0.0015661707126076742;0.09090909090909091
n11;920;0.14953271028037382;0.6530612244897959
n12;3360;0.047540983606557376;0.5370370370370371
n13;2214;0.14150943396226415;0.625
n14;4402;0.006201550387596899;0.8888888888888888
n15;604;0.07329842931937172;0.4827586206896552
n16;4209;0.026499302649930265;0.30158730158730157
n17;825;0.11814345991561181;0.5714285714285714
n18;829;0.12280701754385964;0.5714285714285714
n19;951;0.12030075187969924;0.6037735849056604
n20;2404;0.010075566750629723;0.11764705882352941
n21;1574;0.042042042042042045;0.5833333333333334
n22;363;0.2903225806451613;0.7941176470588235
n23;406;0.0;0.0
n24;713;0.0037735849056603774;0.016666666666666666
n25;629;0.06637168141592921;0.2631578947368421
n26;515;0.18620689655172415;0.6
n27;945;0.25;0.5701754385964912
n28;4470;0.005326231691078562;0.14035087719298245
n29;547;0.12048192771084337;0.4444444444444444
n30;511;0.08379888268156424;0.3333333333333333
n31;750;0.11013215859030837;0.5102040816326531
n32;267;0.010752688172043012;0.07142857142857142
n33;932;0.021739130434782608;0.75
n34;1494;0.04838709677419355;0.47368421052631576
n35;243;0.0;0.0
n36;1451;0.04501607717041801;0.3783783783783784
n37;840;0.04;0.7142857142857143
n38;808;0.046153846153846156;0.8571428571428571
n39;1220;0.06976744186046512;0.8823529411764706
n40;855;0.0;0.0
n41;1076;0.03293413173652695;0.2391304347826087
n42;535;0.2611464968152866;0.6612903225806451
n43;502;0.16666666666666666;0.5813953488372093
n44;866;0.140625;0.7714285714285715
n45;717;0.17679558011049723;0.7804878048780488
n46;1546;0.0963855421686747;0.8888888888888888
n47;742;0.1464968152866242;0.92
n48;901;0.22488038277511962;0.7704918032786885
n49;753;0.09740259740259741;0.6
n50;538;0.1826086956521739;0.84
n51;520;0.18181818181818182;0.8
n52;575;0.17557251908396945;0.9583333333333334
n53;726;0.18902439024390244;0.7948717948717948
n54;762;0.19540229885057472;0.8095238095238095
n55;893;0.11235955056179775;0.6451612903225806
n56;711;0.2236024844720497;0.8571428571428571
n57;645;0.2727272727272727;0.8780487804878049
n58;2839;0.014457831325301205;0.2553191489361702
n59;3534;0.009278350515463918;0.3
n60;187;0.27450980392156865;0.9333333333333333
n61;1874;0.08064516129032258;0.8928571428571429
n62;865;0.04230769230769231;0.16176470588235295
n63;2429;0.011804384485666104;0.14583333333333334
n64;1202;0.06060606060606061;0.5384615384615384
n65;2097;0.046511627906976744;0.7619047619047619
n66;1092;0.04744525547445255;0.41935483870967744
n67;1069;0.08673469387755102;0.9444444444444444
n68;1837;0.002178649237472767;0.04
n69;932;0.13917525773195877;0.84375
n70;1632;0.1108433734939759;0.4791666666666667
n71;2284;0.07526881720430108;0.56
n72;2553;0.08395061728395062;0.7727272727272727
n73;3865;0.040372670807453416;0.65
n74;835;0.07777777777777778;0.9333333333333333
n75;404;0.17045454545454544;0.8823529411764706
