Levenshtein; Jaccard; Overlap
n1;831;0.0;0.0
n2;504;0.013986013986013986;0.028985507246376812
n3;501;0;0
n4;1301;0.07806691449814127;0.45652173913043476
n5;2247;0.11508951406649616;0.6818181818181818
n6;1148;0.15087719298245614;0.5512820512820513
n7;858;0.17616580310880828;0.7555555555555555
n8;498;0.18292682926829268;0.4918032786885246
n9;3500;0.064;0.7804878048780488
n10;339;0.021052631578947368;0.09090909090909091
n11;515;0.03164556962025317;0.10204081632653061
n12;2913;0.046511627906976744;0.4074074074074074
n13;2248;0.14420803782505912;0.6354166666666666
n14;930;0.040229885057471264;0.7777777777777778
n15;512;0.08552631578947369;0.4482758620689655
n16;3615;0.016901408450704224;0.19047619047619047
n17;526;0.11801242236024845;0.3877551020408163
n18;820;0.14146341463414633;0.5918367346938775
n19;625;0.10471204188481675;0.37735849056603776
n20;2335;0.011142061281337047;0.11764705882352941
n21;180;0.0;0.0
n22;402;0.28421052631578947;0.7941176470588235
n23;141;0.0;0.0
n24;434;0.0;0.0
n25;365;0.13392857142857142;0.2631578947368421
n26;445;0.2153846153846154;0.6222222222222222
n27;886;0.24579124579124578;0.6403508771929824
n28;451;0.2689655172413793;0.6842105263157895
n29;529;0.11392405063291139;0.4
n30;493;0.04938271604938271;0.17777777777777778
n31;563;0.12280701754385964;0.42857142857142855
n32;196;0.0136986301369863;0.07142857142857142
n33;920;0.019736842105263157;0.75
n34;1389;0.11186440677966102;0.868421052631579
n35;425;0.0;0.0
n36;678;0.01;0.05405405405405406
n37;422;0.0;0.0
n38;812;0.031496062992125984;0.5714285714285714
n39;1115;0.0663265306122449;0.7647058823529411
n40;813;0.0;0.0
n41;399;0.2777777777777778;0.6521739130434783
n42;534;0.27631578947368424;0.6774193548387096
n43;355;0.2543859649122807;0.6744186046511628
n44;765;0.12777777777777777;0.6571428571428571
n45;674;0.18518518518518517;0.7317073170731707
n46;1330;0.055299539170506916;0.4444444444444444
n47;606;0.16666666666666666;0.8
n48;853;0.0;0.0
n49;641;0.05161290322580645;0.32
n50;487;0.21153846153846154;0.88
n51;505;0.20192307692307693;0.84
n52;669;0.14473684210526316;0.9166666666666666
n53;672;0.1910828025477707;0.7692307692307693
n54;711;0.20118343195266272;0.8095238095238095
n55;731;0.13013698630136986;0.6129032258064516
n56;594;0.18840579710144928;0.6190476190476191
n57;459;0.3090909090909091;0.8292682926829268
n58;482;0.015706806282722512;0.06382978723404255
n59;3933;0.0;0.0
n60;256;0.22807017543859648;0.8666666666666667
n61;1753;0.0449438202247191;0.5714285714285714
n62;663;0.041237113402061855;0.11764705882352941
n63;2204;0.005025125628140704;0.0625
n64;1292;0.07407407407407407;0.6923076923076923
n65;1693;0.05054151624548736;0.6666666666666666
n66;681;0.08387096774193549;0.41935483870967744
n67;978;0.11038961038961038;0.9444444444444444
n68;287;0.0;0.0
n69;891;0.13227513227513227;0.78125
n70;1610;0.0925;0.3854166666666667
n71;2266;0.08021390374331551;0.6
n72;2364;0.08913649025069638;0.7272727272727273
n73;4078;0.04784688995215311;0.75
n74;718;0.024539877300613498;0.26666666666666666
n75;413;0.17045454545454544;0.8823529411764706
n76;443;0.16091954022988506;0.875
n77;915;0.0821917808219178;0.5714285714285714
n78;1194;0.1111111111111111;0.7241379310344828
n79;1290;0.06312292358803986;0.36538461538461536
n80;1105;0.0794979079497908;0.5135135135135135
n81;1097;0.03888888888888889;0.5384615384615384
n82;1468;0.0859375;0.6666666666666666
n83;1172;0.04081632653061224;0.30303030303030304
n84;1170;0.10294117647058823;0.7241379310344828
n85;1513;0.1322314049586777;0.8648648648648649
n86;678;0.1111111111111111;0.4
n87;1299;0.13596491228070176;0.775
n88;1469;0.13524590163934427;0.8048780487804879
n89;1376;0.07633587786259542;0.43478260869565216
n90;172;0.0;0.0
n91;136;0.0;0.0
n92;327;0.1111111111111111;0.6666666666666666
