IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;12;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['| š a\nm , = , di "a4\n{ . āj — n\n, > wa 4d : sh ā *\n\n'];8;0;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[];0;8;0;[];['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[]
n2;45;45;130;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];[': rudzu milti {40%}, margarīns {augu eļļas {palmu rsp0 86: rapšu}, | informācija per uzturvērtību" 100 g produkta satur\nūdens, pārtikas sēls, emulgatori {e322 rapšu, e41} skābuma regulēlējs e980, sviesta. am bz bē = a ie s om oga ea\n./ aromatizēts, krāsviela beta-karotins}. pūdercukurs, kviešu milti miežu iesālā  enerģētiskā vērtība" ei a\n"2 zekstrakts, os {glikozes-fruktozes sīrups, cukurs, skābuma rēgufētājs!e330 , tauki, tosterp: j 2309 /\n1 aromalizatājs}, ueršvelas kanāls, kūstnēlas. muskatreksls, smarārie pien. aezatinatās {aulakanes u\nsa vīlandis ingvers, merpajat kardamans}, satsgis maisījums ieojasmpmli, kviešu, miesatinātās tenkskābes a taas ua\n"lz oviste ārdinātāji {e500, e450}, sūkatu pulveris, diekstroze {kvieši kūklrūza}, sāls, > ogļhidrāti, tostarp =? 88094\njo praata beries seima : ii i āīa tur ā:\nau | riekstu, sulfītu, sezama sēklu p mduktu daļiņas. pe erer 2\naa ed ss o eee m\ni m 90%no cepšanā iz mantotajiem.\n\n'];3;0;['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];[];1;2;0;['sviesta'];['sviesta aromatizētājs', 'sūkalu pulveris'];[]
n3;34;34;2;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['|\n:}\nš\nš\n\n'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;28;28;203;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['m dau iš 14 i}\nen: enirahmie milch, e442, e476}, pakartotinio spaudimo vanīlēs pupeliu gabaliukai, stabilizatoriai” {saldživju derafonjiu laloniu dena, penis — d ”\niup. butterfeti, karageninas}, natūrali vanilēs kvapioj medžiaga\' {su pienu}, kvapioj medžiaga, dažiklis {karolenai}. sudētvie tibītau a\nehoten, stabilisatoren riešutu. be glitimo. \'sertifikuota rainforest alliance. ra.01g. laikyti ne aukštesnēje kaip -16 u iemperetūroja. tik kia . m\nof {carotin}. kana soja pabaigos: žr ant pakuotēs. ir saldējums ar madagaskaras vaniļu un piena šokolādes glazūru {28%}, unmenģējs: ” as\naltbar bis ende, she sastāvddas: atjaunots vājpiens, cukurs, kakao tauki\', ūdens, kokosriekstu tauki, mandeles, vajpiena iēs esa\ndatami {5%}. skladniki: sīrups, glkozes-fmuktozes sīrups, sviesta eļļa, sūkalu sausna {piens}, kakao masa", emulgatori {e471, cam i\n2 mleko w proszku, e476}, ekstrahētu vaniļas pupiņu gabaliņi, stabilizētāji {ceratoniju augļu sveķi, guāra sveķi, karagnāns}, datīķā 00\na kakaoa\', emulgatory  vanias aromatizētājs\' {ar pienu}, aromatizētājs, krāsviela {karotīni}. var. nesēi a  %\nagn} melureimy arormat īpeki. reinforest aliance sertticēts. ra.0rg. uzglabāt femperatūrā ne augstākā par -18 "celeleicams 0 k pus a }\ndemo gerlowane beigām: skat. uz iepakojuma. hr jātis madagaskarilt pārit vaniljega, kaetud piimašokojiša - 81 1 a a\ns —— m — "a - a\n= wēt š - * š ā es : " : » | ā\n74 o- pi 4 va aa k \' n v\ni u o cs j t \' ā\n\n'];6;4;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];['piena', 'vājpiens', 'sviesta', 'sūkalu'];5;1;0;['piens', 'piena', 'vājpiens', 'sviesta', 'sūkalu'];['ar pienu'];[]
n5;35;35;150;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];[': vājpiens 20%, cukurs, krējums {no piena}, glikozes sīrups, ūdens, kokosrieksts 5.5% {kaltēti \'\nkokosrieksti,  pulveris}, , kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens, cepumi ar kokosriekstiem 1.8% {cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija\nkarbonāti}, piena tauki, laktoze, sūkalu permeāts {no vavij emulgatori {sojas lecitīns, e471}, dabīgs aromatizētājs, stabilizētāji {e410, e412},\nnātrija kazeināts {no piena}. var: zemesriekstus, mandeles, lazdu riekstus.uzturvērtība 100 g: enerģētiskā vērtība 1124 kj/ 269 kcal, 4\ntauki 16 g, tostarp piesātinātās taukskābes 11 g, ogļhidrāti 27 g, tostarp cukuri 23 g, olbaltumvielas 3,1 g, sāls 0,12 j uzglabāt temperatūrā -18\n6 pēc atlaidināšanas atkārtoti nesasaldēt. ieteicams līdz derīguma termiņa beigām: skatīt uz iepakojuma. mars latvia sia, sporta iela 11, lv- %\n1013 rīga =80002005, informoeffem.com. ee kookospāhkli-piimajāštis 63% kakaoglasuuriga 34%, millele on tipitud kookospāhkliga a aā\n\n krābedad kūpsised 1.8%. koostisosad: lēss 20%, suhkur, koor {piimast}, glūkoosisirup, vesi, kookospāhkel 5.5% {kulvatatud kookospāhke}, }\n\n,  kookos mapu per}, kakaovāi, \'kkookosrasv, kakaomass, | ossipulbe r, pa mirasv, maguslalud kondensioss kookospāhkliga kūpsised 1.8% y\n\n: j a} āā\n"aa kā\n\n'];12;9;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['krējums', 'piena', 'vājpiena', 'vājpiens', 'piena', 'piena', 'kazeināts', 'piena', 'sūkalu'];11;1;0;['vājpiens', 'laktoze', 'krējums', 'piena', 'vājpiena', 'vājpiens', 'piena', 'piena', 'kazeināts', 'piena', 'sūkalu'];['no piena'];[]
n6;44;44;200;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['.\njam m i sokolādes konfektes apvieno garšas, kas pilnas\nž m ļ maiguma un reibinošas laimes sajūtas.\nā sokolāde ir dabisks laimes avots, dāvājiet to sev\nun saviem mīļajiem!\nsastāvdaļas: tumšā šokolāde 40% {kakao masa, cukurs, , emulgators: sojas lecitīns, dabīgs\nvaniļas aromatizētājs}, piena šokolāde {cukurs, , pilnpiena pulveris, kakao masa, emulgators:\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas {palmu, rapšu}, piena tauki}, saldais krējums {saldais\nkrējums, emulgators: e471, stabilizētājs: karagināns}, amber šokolāde {cukurs, , vājpiena\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu iecitīns, dabīgs vaniļas aromatizētājs}, balzams\n3% {alc. 40% tilp.}, rudzu rīvmaize, mokas aromātpasta, glikozes sīrups {glikozes sīrups, antioksidants: sēra\ndioksīds}, kaltētas dzērvenes.\nenerģētiskā vērtība: 2104 kj/ 504 kcal. 100 g produkta satur: taukus 33 g, tostarp piesātinātās taukskābes }\n20 g, ogļhidrātus 44 g, tostarp cukuri 37 g, olbaltumvielas 4,8 g, sāli 0,21 g. a\nieteicamā uzglabāšanas temperatūra: +15 ”c līdz +20 *c. pēc atvēršanas izlietot 10 dienu laikā. produkta a\ngatavošana notiek vidē, kur var atrasties zemesriekstu, lazdu riekstu, valriekstu, mandeļu, pistāciju, sezama }\nsēklu, olu, piena, sojas, kviešu un rudzu miltu daļiņas.\nneto daudzums: n dx produkts ražots: sia „lāči”, „benūžu - skauģi”, babītes\n108 odi 0} ce pagasts, mārupes novads, lv-2107, latvija.\ng tālr.: +37166047551, e-pasts: infoolaci.lv, www.laci.lv\nm — ieteicams līdz:\n= skatīt uz iepakojuma\n05 4 7d {9: |} | j\nata 41752256 1001011\n\n'];8;10;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['piena', 'pilnpiena', 'piena', 'krējums', 'krējums', 'vājpiena', 'sūkalu', 'piena', 'olu', 'piena'];8;0;2;['piena', 'pilnpiena', 'piena', 'krējums', 'krējums', 'vājpiena', 'sūkalu', 'piena'];[];['olu', 'piena']
n7;25;25;144;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];[': cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize {satur a\n\nkviešus, rudzus, miežus}, krējums, sāls, augu valsts šķiedrvieļas, aromatizētāji {satur rauga ekstraktu}, skābuma regulētāji: e262, e331, sviesta pulveris, i dā\n\n8 biezinātājs e415, antioksidanti: askorbīns un citronskābe, dēlstroze, cukurs, garšvielu ekstrakti : :”\n\n| 18 100g produkta vidēji satur: enerģētiskā vērtība 940 13/225 kcal, tauki 13 g, tostarp piesātinātās taukskābes 3,3 g, ogļhidrāti 13 g, tostarp cukuri 1,79, tt\n\n1 = olbaltumvielas 14g, sāls 1,5 g. uzglabāšanas temperatūra: +2...+67c. sii ā\n* lira\nlā produktā iespējama šādu alergēnu klātbūtne: soja, a:\n"% e} sinepes, selerijas un auzas. produkts cepts rapšu eļļā. s\niepakots aizsargatmosfērā. pēc iepakojuma atvēršanas i\n|8 izlietot 48h laikā. ražots igaunijā. "bms\ni. i ntnt liru" izplatītājs: as "hkscan latvia", atlasaiela 7, m ss\ni izlietot līdz: rr atsaksmēm: 80005100 bai\n? ? {} 3 2 3 rīga, lv-1026. tālrunis atsauksmēm: ā |6s\nm „ps s aemi m | ss\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa', 'cāļa', 'olu', 'cāļu', 'sviesta', 'gaļa'];6;0;1;['krējums', 'cāļa', 'cāļa', 'olu', 'cāļu', 'sviesta'];[];['gaļa']
n8;37;37;88;['makaroni bez olām', 'kviešu milti', 'palmu eļļa', 'sāls', 'cukurs', 'skābuma regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājs guāra sveķi', 'garšvielas', 'sāls', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija5'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'sīpoli', 'burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'cukurs', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandrs', 'melnie pipari', 'alpinia galanga', 'ingvers', 'pētersīļi', 'kurkuma', 'melnie pipari', 'asie pipari', 'aromatizētājs', 'satur olas', 'rauga ekstrakts', 'saulespuķu eļļa'];[': makaroni-bež "0ā1 p} {0} |\n3s medžiagos: {92,3%}: kviešu milti, palmu j sāls, cukūrs, skāņiš fj a ļ\npuiķeniu ās regulētāji: nātrija karbonāti, kālija karbonāti, biezināte va\nmo stprikfiai: guāra sveķi, garšvielas {7,7 %}: sāls, aromāta un abi hwvl\nbonukleotidai,: pastiprinātāji: mononātrija glutīja {} an āā\npastamokai, dinātrijas\'-ribonukleotīdi, kaltēti dārzeņi gās m tan f\nlmišinys {karis burkāni, pastinaki, ķiploki}, maltodekstrīns, meli nm va\ns105 alpinijos, garšvielu maisījums {karijs {kumīns, korait ar 4”\nim atm pipari, alpinia galanga, ingvers} jētājs {saturrēlēs i\nsiniu}, mieliy melnie pipari, asie pipari}, aromatiz\nez rauga ekstrakts, saulespuķu €}8.\n\n'];1;0;['satur olas'];[];0;1;0;[];['satur olas'];[]
n9;22;22;462;['cukurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'kakao sviests', 'sausais piens', 'piena tauki', 'aromatizētājs', 'sausās sūkalas', 'sviests', 'piens', 'kakao pulveris ar samazinātu tauku saturu', 'olu pulveris', 'ciete', 'emulgators saulespuķu lecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs'];['a / ”\n4d g d\n —\n} bd šokolādes vafeļu tortē\'aršokolādes skaidiņām trifele, sastāvdaļascūkurs, kviešu milti, augu tauki {palmu, basijas}, šokolādes skaidiņas 13% {cukurs, kakao masa, , sausais piens, piena tauki, aromatizētājs}, sausās sūkalas, sviests\ni {piens}, kakao pulvesis ar samazinātu tātlkt saturu,.olu pulveris ciete, ēmulgators saulespuķu lecitīni, irdinātājs nātrija hidrogēnkarbonāts, sāls, aromatizētājs, var. uzglabāt sausā vietā {183} c temperatūrā. €x8\n{chocolate wafer cake with«hocolate flakes trīfele. ingredients, sugar, wheat flour, vegetablefat {palm, shea}, hocolate flakes 13% {sugar, cocoa mass, cocoa butter, whole milk powder, butter fat, flavouring}, whey powder butter {milk}, low fat\'c0coa\npowder, ega powder, stardi, emulsiiē sunflonwerlecithins,raisīīīg agent sodium iydrogen carbonate, salt, flavouring. may contain traces ofnuts and peanuts, keep dry {18+3}”c, cb} dauerbackware mit sdokoladenstickdhen trīfele, zutaten: zuder\nweizenmehi, pflanzenfett {palm, shea}, shokoladenstūckchen 43% {zucker, kakaomasse,\nkakaobutter, vollmildīpulvergskāildīfett, aroma}, molķepulver, butter {mildh}, „o | o\nfettarmes kakaopulve,, vollērpatvēje starke, emulgator sonnenblūmenlecīthine, ,\nund ērdnūssen enthalten. trocken lagem {18:23} c cd šokoladinis vaflinis tortas su , , n ā\naioledo gabalukais tie, sudedarnses als aims, kietinii mīti auga |7/servings.per container/doses par emballage n +\nriebalai {alyvpalmiv, sviestmedžiņ}, šokoladiniy ģribsniai 13% {tikus, lakas mas} servi ize/portion 1/7 pieces {50 g}/ 1/7 piēecē 0g}\nkakavos sviestas, nenugriebto ri miltelzi, pieno riebalai, kvapioj medžiaga}, srūgu ae emma am —ļ— o oe\nilteliai, sviestas {pienas}, liesi kakavos milteliai,klaušiniu milteliai, krakmolas, emulsikli : x .\nilā aulēgāta ieksāo metra a atrkatmvti se kapiem amount per serving/guantitē par portion\ngali būti riešutu ir žemes riešutu pēdsaku. laikyti sausoje vietoje {18-3}” ctemperatūroje. 1 i 260\n} o vienam tase du um unedmai {calories/calories\n{palm, shea}, šokolaadilaastud 13% {suhkur, kakaomass, kakaovēāj, pilmapulber, on 70 amat\ngao pilmarasv, lohna- ja maitseaine},vadakupulber, vēi {piim}, vāhendatud rasvasisaldusega m a dat vale vale ota\nkakaopulbe,, munapulber, tārklis, emulgaator pāevalilleletsitin, kergitusane | total fat/lipides total 15g 19%\nā naatriumvesinikkarbonaat, 500, lēhna- ja maitseaine. vēib sisaldada vāhesel maaral pāhklit 2 ā 0\na ja maapahklit. sāllitada kuivas kohas temperatuuri! {18+3}” c turustaja eestis: orkla eesti „sēturated fatsaturēsaa a a\n% m, pērguvālja tee 6, lehmja, rae vald, 75306, harjumaa, eesti, www.orkla.ee trans fat/trans 0g\nllokonajhbii baberbkbili topt c wokonaahbimm xaonbamu īpuģene. octa: | cholesterol/cholestērol <5m g 1%\ncarap, muehmuuhar myka, pacratējībkblit mp {narībmobbili, lm}, luokonojihbie xn0nea |l——— m ————\n13% {cavap, kakao teptoe, kakao mac1o, cgaoe lieibhoe monoko, monouhbili xp, | $odium/sodium 45mg 2% ā\n| apomamuzatop}, gas oibopotka, cimbouhoe mao {monoko}, kakao nopolok c |total carbohydrate/glucides 28g 10%\nā nokvkehhbim copepkahmem xmpa, amuhbij mopollok, kpakmaji, 3myabratop-} —————— m\nē | iemtgia m pazpbdoimtejib t pokapookat hatpma, cojb, apomatm3atop. dietary fiber/fibres 2g 7% ,\n| 3momkho cohepkahme yacmu opexob v apaxmca. xpakmtb b cyxom mecte-mpi 2\ntemneparype {18+3}” c. cpenkve 3hkauekua muleboni lehhoctm jo oma total sugare/sucres 18” pa\n| ee eta" zl oru aaa em = lt rej includes 12g added sugars/comprend 12g de sucres ajoutēs 24%\na t, 1 nopuma 507 npojykta cohiepkmt: 3hepretmueckaa lehhoctb — 1070 kl}/ 256 krāni i i\na {10%**}, genku — 26 1 {3%}, xupoi — 15 r {18%}, yrmegojibi kr {806} aa „protein 88 _— |\n\n'];6;3;['sausais piens', 'piena tauki', 'sausās sūkalas', 'sviests', 'piens', 'olu pulveris'];['sūkalas', 'piens', 'piena'];5;1;0;['piens', 'sviests', 'sūkalas', 'piens', 'piena'];['olu pulveris'];[]
n10;15;15;1254;['piens', 'karameļu piedeva', 'cukurs', 'ūdens', 'dedzināta cukura sīrups', 'dabīgs aromatizētājs', 'karamele', 'biezinātāji', 'guāra sveķi', 'karagināns', 'vitamīni a', 'b6', 'b12', 'd', 'folijskābe'];['233} "ass aaa a\n— s r rr rrr o ee r s r s\ns s lira aa aa a r a d ta\nr n rrr rss ls r as —— a a r r\nšā r: s r r rss r r r s r\na r 2 a pt tr spp s lt tīri aa r s =\nssta s sli iis rpr? tr re rs aaa as 9 s\nmm m kk a\nss s prpp rrr r r š a s a s rrr} : 9\nrss bl lš e21737 : r r rrr r s rrr s z iu rs\n3 ii lss līs pr bz s s sr rss srs ar 8\n?% r klrrraaaaa a s o r rr r s ī\nr83 s — lr? rr i s rīt s s m\nr? kk ss rets a rer ls 3 r a lr\n22399889728 s s lls r zs n s res s r ri\n} a as s pr s r r ss s ve rr\n{9329898989339839389398282?*8 nss pss zi s 2 s rrr rs\npplrfēī rts lr ls s n s s: s s sa 8}\npass s sr tt tks spp r lrs ass kaa pa\n"r 9??r?ērē rr t s ls % ra 3 p3 r r da sai\nš s pr? rs sts s k s š r s v s os \'\nrrr r rrr lan ss s res a rrr ās\n"a a a bi 3 ņ\n- ka sss sava lta a m ada a s i\npf ?93323??»7 s tr s rns 9 sfs r vr\n35 are tns rss n -s a rss ls aa ās lr\nrr a rus "rss _— šš fil šas x de 3 ā\nr ro x 3 a ru :\nr r pos aaa srs a ea a r s .\nas s — {u a\ns na aa s a a m aa su\ns ma pr % 3 els = lrs sr rš mm s rrri\nn: a 3 rex as s a ea em |: | see\ni: i sie 8 5 srs r rr rr rss s a sr ši\n8 sx sll 8 es zzs 4 % s eset\nka a akas as pa\nj i: ka sat: lo spss ss ss š as a š ls\nģ sh rss a ae srs rs s\nzi =. a pr rrr rr rrr šis rrr s\ndas = š 14 ppl rl fi štr rrr rs < 84\nāā m rns melu piedevinu aatstirš. a\na 9 -: zts rs rrir s vāku oi 14 ny h ļ hf ad e2493 hkārossu -\n- m8 tā ti 2 er ss heyai pf o1 a had ss:\nne u as emperaturā tau a to : 1 ad ad eu\nr rauna a os sea aps a hp psathro trade ee es }\nkh: mata s r pr rrr mu para pits nn z ut tnt el a\nlai ies aaa arena sa 1 h+ ti\na š ar spa ska hd: sisgia ka ņ: tip tr i al\nes: tie tata s pe rpr rer r des 6:34 :: 3 te ta 23h ka vr\n= bas ed a cukura sirups, eed mats 16upa rs heens\ns rr rrr bra na s pt are r s ardamat res pu pepevi lrs\nbe n a asa ir zane, dibena s raka ši ā\nse ot ae cat nd t ir anas jaa as s k rs\nik ne nenrzīm isas pa tas akas s\nssbrim las os r ea a aste iu eau zemes gt en s e\n4 eh a je ss cateah 2 \' dr r s rer rs vi mai > eee\ns983 asr i ha bv uss 10 te lpr sls ee ebrls s ri br šā\nfive ge ptt ti fie hap hs sp šā : r r ee ši\nr kzusanu tas as ta, airis aa :: tzeh uuesus has me, j\nttd s ie ai r u ae ta 38: 16 hit para gan pr j\ntv p er ah » no mb taa ies amīns a aeabāsa na r m\nsika a11 ft tt es vip ba\ns tieva īnaji tt\nea aramasaet sr iies a\nzr t štss 2 ppr :: zs v s psr pe s ptt\n6: i ra 9999899989 r r rrr sr > vs eta ls\n"pr spa tad o t ptt: pr i perel srg rs pata re mt ās\ni aurd pastu rioeei tt mani on a n sieti a\naa na m ma m auto dots} ps tima -\n"karam t t pe te ai u na esat s r u sis a\nk a s ak r ee r a se s ba\ni a s as da rt karameleisbed i\n suhkrusirup 1800 10 karam os ara ne o te re u īaimā\nee ne tiem aojo, 18.08 {9 a asas es\nsep ijz le tris emt nas 1 ki hits ——hwrot$ pri\nš ž so rrr sos eee aa aaa d rs + eur m ces 56 el a\nep n t a aes a k a ea ts z rr} bija\ng n tā a 4% 34 rr k sfen i: zr 2 zs ana pa\nž $ bijā pt d tt ka a viegss a r 98 a re eri ā ņ:\nļ et t pr ad oo ata a lesa ra ne a beko a . s ,\n% % : ee heh ape gs sist jā nā ioc māra akas to ši bs % 12 a :\nitt pe r pata nts "pat di ea e25888: a s n i čā\nsite būt le llu lkp ge odo ri, "pepiataa ls au pp uta tes\nmo vazma} ša m ais a sr per is ps vs, eek pie pri\n paberis t kurs tambumiu t mēb m a ua ma\nei: gab isti ee hb” dd pijedi hd apa rer rp rss 055 aa,\nes pll see t pk es iep š ur s pr m aa numea ie sa jās s s 5\nei fine 1 at pauta n vē ii r r ras bs a bē heh 1s r ā\n:: i: hh at vie , 25 mis ļi h 1 au tta ka oti a ar es ss jā 344 rs s .\nla db āā ldp wv takenu tt amistempera th r jj sa reres se\n4 } i ši tu gi ie atd ze a une "\nfi š z st ee s šās\n: = } a ae a , āā a a\nki. a š t e574 bas loti {ww y18\' sp eēs pr i le s as a - . \'\na , s 4 av eee 59 r kamelts prieninie vita s a a\nā : im est pat melo ti edu ama pod ta res r a a š\nj te te  bedatūd nt rata bita taa ēst pourotas in :\nparkour hi s mperatūroje tūris 200 ml sureramosins m 50 in\n4 f tvt te punk uj zu rr sheet ana ps lts n\n| "pieci a itt ēo ddienas 0% ietojs beneduu ss bava\nž 3 aek pret m ptt para m as wa as n ž }\n{ ppp a me ko a asu k wakittm sr rr m\nā j : , ports mieta a ras r bakans {27pp} phare per\ne a j 10 cid pas natura 1d kat i este sita hi ž\n: k- la d eei td " 4 ģ 8\nk ēr ki h kit , 11 4 a s š pe š\nr a , .\nk n ar ģ —\nā za a\nn\nj c.\nā n\nš n j\n*\ns a iš\nņ m i |\na nu\nper v *\nni\na ,\n,\n\n'];1;0;['piens'];[];0;1;0;[];['piens'];[]
