IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;14;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['— j k es\n4\n—_\nr _ ma bta a — — lilsss\n—\n- {a\n\n'];8;0;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[];0;8;0;[];['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[]
n2;45;45;96;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];[': rudzu milti {40%}, margarīns {augu eļļas {palmu rspo 56, rapšu}, . informācija par uzturvērtību + 100g produkta satur\n\nūdens, pārtikas sēls, emulgatori {e322 rapšu, e471}, skābuma regulētājs e330, sviesta = mani sins et\n\naromatizētājs, krāsviela beta-karotīns}, pūdercukurs, kviešu milti, miežu iesāla enerģētiskā vērtība | 2991 10/556 kcal\n\nekstrakts, pildījums {glikozes fruktozes sīrups, cukurs, skābuma regulētājs e330 \' tauki, tostarp: ņ 2309 /\n\naromeatizātājs}. garsvelas {kanēlis, krustnāgijas, muskatrieksts, smaržīgie pipari rīsati \'\n\naīlands. mavers, melnie pipari kardemons}, sausais maisījums {sojas lt, kviešu "iesātinētās taukskābes nja\n\nciete. irdinātāji {e500. e450}, sūkatu pulveris, dekstroze ikvieši kukurūza sāls. > ogļhidrāti, tostarp i 880g\n\n\'āromatizētāji vantlas, sviesta}} cukuri\nke oo nenes!\n\n/ 90% no cepšanā izmantotajiem\n\n'];3;3;['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];['sūkatu pulveris', 'sviesta', 'sviesta'];3;0;0;['sviesta', 'sūkatu pulveris', 'sviesta'];[];[]
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['y: |\n\n'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;28;28;248;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['ff” —— ņ €} .\n| m ā\naa a m aria a\n= _ —čee _ a —— ma } a ki —— sā l ē - šā —— . - m . / x\ni m ā\n} riepa varilēs "tuneli *aabelitkai,stablizaionai {saldživjusoeratoniāj da š m\nen: entrahmie milch, e442, e476}, pakartotinio spaudimo vanilēs pupeliu gabaliukai, stabili „isaldziuju : ceratonju den, gani =\nirup butterfeti, vesi natūrali vanilēs kvapioji medžiaga\' {su pienu}, kvapioji medžiaga, dažīklis {karolenai}. sudētvie gali būt vēd >”\nshoten, stabiisatoren riešutu, be gltimo. \'sertifikuota rainforest alliance. ra.org. laikyti ne aukštesneje kaip -18 u iemperetūroja. said k k āā ž\nof {carotin}. kana soja pabaigos: žr: ant pakuotēs. irr saldējums ar madagaskaras vaniļu un piena šokolādes glazūru {28}, un 5%} .\nalibar bis ende, siehe  sastāvddas: atjaunots vājpiens, cukurs, kakao tauki\', ūdens, kokosriekstu tauki, mandeles, vajpiena pilēt 7es ž\njatami {5%}. sktadniki: sīrups, glkozes-fīruktozes sīrups, sviesta eļa, sūkalu sausna {piens}, kakao masa", emulgatori {e471, eml — a\n8 mleko w proszku, e476}, ekstrahētu vaniļas pupiņu gabaliņi, stabilizētāji {ceratoniju augļu sveķi, guāra sveķi, karagināns}, dauīi kipra\na kakaowa\', emulgatory vanias aromatizētājs\' {ar pienu}, aromatizētājs, krāsviela {karotīni}. var. nesal ā: b.\nae}, naturdmy aromat ipeki. \'reinforest alliance sertificēts. ra.org. uzglabāt temperatūrā ne augstākā par -18 "c leiekams tt ki oars j ”\nmom. gerijikowane beigām: skat. uz iepakojuma. ifa jāētis madagaskarilt pārit vanilega, kaetud piimašokolāšāi |28 4 «\nloze mz bc, gilkoossiruņ, dikoosrīnkkoosisirup vonoli, vadekupulber {piim}, kakaonsēštāmagā es e71, e442 hi jlvototud šu\nie deno vika ēnā a van akummi, kamagee s gllfeeni maiisāe nmaga} s\nt sao "waba. "ķēnfurest nliance « v\n- a * a m s \' k i >\no pa m, g a\n\n'];6;7;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];['sūkalu sausna', 'sviesta eļa', 'piena', 'vājpiens', 'piens', 'pienu', 'vajpiena'];6;0;1;['sūkalu sausna', 'piens', 'sviesta eļa', 'piena', 'vājpiens', 'pienu'];[];['vajpiena']
n5;35;35;164;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];[': vājpiens 20%, cukurs, krējums {no piena}, glikozes sīrups, ūdens, kokosrieksts 5.5% {kaltēti\nkokosrieksti,  pulveris}, , kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens cepumi ar kokosriekstiem 1.8% {cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija\nkarbonāti} piena tauki, laktoze, sūkalu permeāts {no iradaaks emulgatori reta or zoo an teu ii : e a č:\n\nila kazei ji ēt: i lazdu riekstus.uzturvērtība 100 g: enerģē āā\nnātrija kazeināts {no piena}. var: zemesriekstus, mandeles, | j r at a iams\n\ni iesāti | tostarp cukuri 23 g, olbaltumvielas 3,1 g, sāls 0,12 g. uzglabāt temperatūrā\ntauki 16 g, tostarp piesātinātās taukskābes 11 g, ogļhidrāti 27 g, aaa bei amieka zemak lmaumarsliav a see pona ielai kv: .\n*6 pēc atlaidināšanas atkārtoti nesasaldēt. ieteicams līdz derīguma ar oo : sb : } at toēkon — katkocačikliga |\n\n=80002005, intormoeffem.com. ee kookospāhkli-piimajāštis 63% kakaog irig šo, \' nē\na a a a a aa |\nk : soma pl d mu = ka atv sal atv alnas a dļi lai jaik ļ saine mka\n» a\nž āā :\n"— ā =\nm «ar\na , . \'\nve\n" 4 k ņ s . + a\n\n'];12;9;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'laktoze', 'vājpiens', 'krējums', 'vājpiens', 'sūkalu', 'alnas'];8;4;1;['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'laktoze', 'vājpiens', 'krējums', 'vājpiens', 'sūkalu'];['no piena', 'piena olbaltumvielas', 'no piena', 'no piena'];['alnas']
n6;44;44;184;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['.\nsokolādes konfektes apvieno garšas, kas pilnas\nmmaiguma un reibinošas laimes sajūtas.\nsokolāde ir dabisks laimes avots, dāvājiet to sev\nun saviem mīļajiem!\nsastāvdaļas: tumšā šokolāde 40% {kakao masa, cukurs, , emulgators: sojas lecitīns, dabīgs\nvaniļas aromatizētājs}, piena šokolāde {cukurs, , pilnpiena pulveris, kakao masa, emulgators:\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas {palmu, rapšu}, piena tauki}, saldais krējums {saldais\nkrējums, emulgators: e471, stabilizētājs: karagināns}, amber šokolāde {cukurs, , vājpiena\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu iecitīns, dabīgs vaniļas aromatizētājs}, balzams\n3% {alc. 40% tilp.}, rudzu rīvmaize, mokas aromātpasta, glikozes sīrups {glikozes sīrups, antioksidants: sēra\ndioksīds}, kaltētas dzērvenes.\nenerģētiskā vērtība: 2104 kj/ 504 kcal. 100 g produkta satur: taukus 33 g, tostarp piesātinātās taukskābes\n20 g, ogļhidrātus 44 g, tostarp cukuri 37 g, olbaltumvielas 448 g, sāli 0,21 g.\nieteicamā uzglabāšanas temperatūra: +15 ”c līdz +20 ”c. pēc atvēršanas izlietot 10 dienu laikā. produkta\ngatavošana notiek vidē, kur var atrasties zemesriekstu, lazdu riekstu, valriekstu, mandeļu, pistāciju, sezama\nsēklu, olu, piena, sojas, kviešu un rudzu miltu daļiņas.\nneto daudzums: n x produkts ražots: sia „lāči”, „benūžu - skauģi”, babītes\n108 {wt {0} ce pagasts, mārupes novads, lv-2107, latvija.\ng tālr.: +37166047551, e-pasts: infoolaci.lv, www.laci.lv\na a ieteicams līdz:\n05 u4 2729\nvl 417522361001011\n\n'];8;7;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena', 'olu'];6;2;1;['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena'];['saldais krējums', 'piena tauki'];['olu']
n7;25;25;131;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];[': cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize {satur ==\n\nkviešus, rudzus, miežus}, krējums, sāls, augu valsts šķiedrvieļas, āromatizētāji {satur rauga ekstraktu}, skābuma regulētāji: e262, e331, sviesta pulveris, es\nbiezinātājs e415, antioksidanti: askorbīnsun citronskābe, dēlstroze, cukurs, garšvielu ekstrakti. tat ?\n\n| z 100gproduktavidējisatur:enerģētiskā vērtība e3401 / 225 kcal, tauki 13 g, tostarp piesātinātās taukskābes 3,3 g, ogļhidrāti 13 g, tostarp cukuri 1,79, ira\n8m olbaltumvielas 14g, sāls 1,5 g. uzglabāšanas temperatūra: +2... +67. ha\n\nm ea\n\nproduktā iespējama šādu alergēnu klātbūtne: soja, ca:\n\n4 e} sinepes, selerijas un auzas. produkts cepts rapšu eļļā. n\n\n4 iepakots aizsargatmosfērā. pēc iepakojuma atvēršanas s:\n\n| izlietot 48h laikā. ražots igaunijā. mā is\n\nmatu izplatītājs: as "hkscan latvia", atlasaiela 7, mēs\n\nizlietot līdz: } = lrumis atsauksmēm: 80005100 3\n\n— ? ? 03 23 rīga, lv-1026. tālrunis atsauksmēm: . m s\n\nm es lacni li\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa fileja', 'gaļa', 'olu baltuma', 'cāļu ādas', 'sviesta pulveris', 'krējums'];6;0;0;['cāļa fileja', 'cāļu ādas', 'sviesta pulveris', 'krējums', 'gaļa', 'olu baltuma'];[];[]
n8;37;37;91;['makaroni bez olām', 'kviešu milti', 'palmu eļļa', 'sāls', 'cukurs', 'skābuma regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājs guāra sveķi', 'garšvielas', 'sāls', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija5'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'sīpoli', 'burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'cukurs', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandrs', 'melnie pipari', 'alpinia galanga', 'ingvers', 'pētersīļi', 'kurkuma', 'melnie pipari', 'asie pipari', 'aromatizētājs', 'satur olas', 'rauga ekstrakts', 'saulespuķu eļļa'];[": makaroni-bež 0lār d} va\n3 mmedžiagos: {92,3 %}: kviešu milti, palmu eļļa, sāls, ctlkūrs, skābumē na a\npuķeniu ās regulētāji: nātrija karbonāti, kālija karbonāti, biezinātā” v! ma\n- suprikfīai: guāra sveķi, garšvielas {7,7 %}: sāls, aromāta un 98 mana\nbonukleotidai,” pastiprinātāji: mononātrija glutanā va v\npastamokai, dinātrijas'-ribonukleotīdi, kaltēti dārzeņi bis tav\nlmišimys {karis burkāni, pastinaki, ķiploki}, maltodekstrīns, air mv\n105 alpinijos, garšvielu maisījums {karijs {kumīns koriandrs, m 4”\npipirai, aitrieji pipari ini } stersīļi, kurkumi\npipirai, aitrieji pipari, alpinia galanga, ingvers}, pr 9 jas}\nsiniu}, mieliy melnie pipari, asie pipari} aromatizētājs satur 9\ndes. rauga ekstrakts, saulespuķu €}8.\n\n"];1;0;['satur olas'];[];0;1;0;[];['satur olas'];[]
n9;22;22;454;['cukurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'kakao sviests', 'sausais piens', 'piena tauki', 'aromatizētājs', 'sausās sūkalas', 'sviests', 'piens', 'kakao pulveris ar samazinātu tauku saturu', 'olu pulveris', 'ciete', 'emulgators saulespuķu lecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs'];[' cūkurs, kviešu milti, augu tauki {palmu, basijas}, šokolādes skaidiņas 13% {cukurs, kakao masa, , sausais piens, piena tauki, aromatizētājs}, sausās sūkalas, sviests\n{piens}, kakao pulvesis ar samazinātu tātlktr saturu, olu pulveris ciete, ēmulgators saulespuķu lecitīni, rdinātājs nātrija hidrogēnkarbonāts, sāls, aromatizētājs, var. uzglabāt sausā vietā {18:3} c temperatūrā. €x6\nchocolate wafer cake with«dhocolate flakes trīfele. ngredients, sugar, wheat flour, vegetablefat {palm, shea}, hocolate flakes 1396 {sugar, cocoa mass, cocoa butter, whole milk powder, butter fat, flavouring}, whey powder butter {milk}, low fat {oo\nnowder, ega powder, stardi, emulstiēt suntlonwerlecithins,raisīīīg agent sodiumlīydrogen carbonate, salt, flavouring. may contain traces of nuts and peanuts, keep dry {18+3}”{, gb dauerbackware mit sdrokoladenstidkchen trīfele, zutaten: zude!,\nweizenmehl, pflanzenfett {palm, shea}, shokoladenstūckchen 43% {zucker, kakaomasse,\nkakaobutter, vollmildīpulveigekāi aroma}, molķepulver, butter {mildh}, „z | m\nfettarmes kakaopulver, vo stārke, emulgator sonnenbiūmenlecīthine, ,\nund ērdnūssen enthalten. trocken lagem {183} {cd šokoladinis vaflinis tortas su : , n\nšakolado gabaliukais trfele, sudēdamošos daijs: cūrus, kvietiniai mitai, augsinei |//servings.per container/doses par emballage s jj\nriebelai {alvpalmiu, sviestmedži}, šokoladiniu grībsnizi 13% {tu, kavas ms | serving size/portion 1/7 pieces {50 g}/ 1/7 piecēs-4{50 g}l\nkakavos sviestas, pers kaidanstlznija riebalai, kvapioji medžiaga}, išrūgu aaa ao —e nam —č mg ss e\'portio pp { 9} p\nmilteliai, sviestas {pienas}, liesi kakavos milteliai, klaušiniu milteliai, krakmolas, emulsiklis : ae :\nlecītinai {saulēgražu}, tešlos kildymo medzžiaga natrio karbonatai, druska, kvapioji medžiaga. amount per serving/guantitē par portion\ngali būti riešutu ir žemes riešutu pēdsaku. laikyti sausoje vietoje 183}” ctemperatūroje. "1 "1 260\n2 smieties anti torti dur iajiu im mai |calories/calories\n{palm, shea}, šokolaadilaastud 13% {suhkur, kakaomass, kakaovēj, piimapulber, " . g šai *\npilmarasv, lohna- ja maitseaine}, vadakupulber, vēi {piim}, vāhendatud rasvasisaldusega lo m 2 daiva? vale dotiem\nkakaopulbe,, munapulber, tārklis, emulgaator pāevalilleletsitin, kergitusane | total fat/lipides total 15g 19%\nnaatriumvesinikkarbonaat, sool, lūhna- ja maitseaine. vēib sisaldada vāhesel māāral pāhklit b š 0\nja maapahklit. sāllitada kuivas kohas temperatuuri! {183} c. turustaja eestis: orkla eesti — sēlurated fatsalurēs sm a m m\nms, pērguvālja tee 6, lehmja, rae vald, 75306, harjumaa, eesti, www.orkla.ee trans fat/trans 0g\nilokonajhbii baperbkbili topt c uokonaahbimm wionnbanmm īpuģene. octa: | cgnolesterol/cholestērol <5mg 1%\ncaxap, muiehmukas myka, pacmtējibhbllā xmp {nanibmobbiā, lv}, luokonajhblē xonba |l—————————————— ss —\n13% {caxap, kakao teptoe, kakao mao, cxoe lļenibhoe mojmoko, mohnouhbiā amd, sodium/sodium 45mg 2%\napomamu3at0p}, gnaa olbopotka, uimbo4hoe macīo {monoko}, kakao nopolok c |total carbohydrate/glucides 28g -— us 10%\nnokvkehhbim copepkahmem xmpa, amuhbij mopollok, kpakmaji, 3mynerarop-} —————m—g——————o m\nmija jielņtah, pazpeliimtejib mhpokapoohat hatpma, cojb, apomatmzatop. dietary fiber/fibres 2g 7%\n3momkho cohepkahme vacmu opexob v apaxmca. xpakmtb b cyxom mecte mp t ā\ntemneparype {18+3}" c. cpejkve 3kauekua mmlesoni uehhocm 8-1001  īovaa g ui. m ta as\nmiepremnecam us = 2139 ga san, gent = 52kg 291 yrmegojii = includes 12g added sugars/comprend 12g de sucres ajoutēs 24%\nr, 1 nopuma 501 npogykta cofiepkmt: 3hepretmueckaa lehhocte = 1070 i 256 kk | protei i\na {10%77}, genu — 26 1 {3 %*}, xnpbi = 15 1 {18%**}, yrnegojpi = 28 r {8%}. i m s a\n\n'];6;7;['sausais piens', 'piena tauki', 'sausās sūkalas', 'sviests', 'piens', 'olu pulveris'];['sausais piens', 'piena tauki', 'sviests', 'olu pulveris', 'sūkalas', 'sviestas', 'pienas'];6;0;1;['sausais piens', 'piena tauki', 'sviests', 'olu pulveris', 'sūkalas', 'pienas'];[];['sviestas']
n10;15;15;436;['piens', 'karameļu piedeva', 'cukurs', 'ūdens', 'dedzināta cukura sīrups', 'dabīgs aromatizētājs', 'karamele', 'biezinātāji', 'guāra sveķi', 'karagināns', 'vitamīni a', 'b6', 'b12', 'd', 'folijskābe'];['kā i }55liūīfkss\ns v a aa ls —\nās 2 l kit s s\nš a ras k x la ou\nvv ķ aa a ž m a x\nrr s: līs x r 3 3\nkr r v r īss 4 sss i 3 28\nli rt v āa s ks s 2%\na aties i rss aa u\nš  ——— m as sa f a |\n, ls lr n s n pb ps t es 88 339590\nsa a nos zr s a ru\n4 i. ps īs er a ss s s , s o as a\n{a , a ww ce\nr s d s la aa r ir 3 z\n. 88 2 š = a - aa r\nz s s šares a ls % r:\ns aaa s temperj tā mu un hu vijs i a a a m\ns nasta ppr r perāturi radies das km aps spr 3:\nlkf ?»2l uae s rf?pzr?ššrērs ah a uetiotes sers m aesikauai s s\n6} ss s n i apariduji ort 4: +63 : piims ori =\nlee inatas eh eee a abas hh piei aa 4 ms 200 mt s\n— dedzināta cukura srups, dab |" piedeva 8% {cukurs, ūdens\nšā 48 r lāšii: pri sai ēs um iee nv ki rs hier ass s s\nre kksbea pe s pa rrr 8 aja hz} a a aa a s has: ši\ndata eu a a aatnebme igbs pahh} ipo ei kas r\n. za rr pīšs sites "kkk 9 padebeši mu n 8 r ši\nr r rrr rs : +112 74: es au isparas ri\nis —t7 es sets lu miks ui ierbajana a\n% ss 38 adam ee ai m m z\n korgpastūriseeritud. :- -\n, u — paksendajā i luna n šī teo, o aaraa pirma\nu adas dsk gr 1 tn ek "mar z etirremi re 0}\nir gi ke 2 lss ti er mater ei hutā t are si\nieteniejt ši viš 8 di s sa buk ae vaj pss\ngūtta es ku ga š t a tam t upe a iki a\nie divā mo a u tamistemp un jā tudi ms a\nga ej 1147 eka teh: st hate\npt a a188101 98t 9 0 s\nsēd zbejai kai pietekefdloims s priet mu m ss\naukštaje te irbēkabaā tpgiet drink r vitamin ff\n> ne temperatūroje. tūris 200 mi. su is apk pr iret s\nta pes 10006888} ka 6-0 0s mesties dta s\nakr pikaajbemies |pilapē ram} s riees babatos it iaģajdja asn =\nhpa velts priedas 8% icukrus van mūsin narve, s\n, mt u88 04 1b 1: ea dt 9 pal fa\nn »\nn\na 4\nē\na n |\n|\n} +\na\n\n'];1;1;['piens'];['sers'];0;1;1;[];['piens'];['sers']
