IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;81;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['saldējumam sauce and milk chocolai', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators "testi', 'milk', 'sugar', 'butter', '1taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais mono and dr iaake of fatty acidvājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao masa', 'skimmed milk powder', 'natural fpilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas iecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas butter', 'cocoa mass', 'whole milk poalenu granētābau mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts flavouring', 'raspberry', 'pomegranate', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveki', 'baltās pomegranate juice concentrate', 'thickener', 'xanthan gum', 'locust bes tecitīni', 'var', 'coconut', 'rapeseed', 'sugar', 'fat reduof gluten', 'peanut', 'nuts and eggand best before date', 'see on thkombināts”', 'bauskas street 180', 'riakācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklucukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgatorzemesriekstu', 'riekstu', 'olu daļiņas', 'uzglabāšanas temperatūra ne au stāka kā', '18” c', 'ražošanas datumsun izlietot līdz', 'skatīt uz iepakojuma sāna', 'ražotājs', 'as „rīgas piena mbināts”', 'bauskas iela 180', 'rīga', 'runs atsauksmēm', '+371 80001110', 'lv', '1004', 'latvija', 'bezmaksas tā—_—4 a'];8;9;['sausais vājpiens', 'pilnpiena pulveris'];['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki', 'olu daļiņas', 'as „rīgas piena mbināts”', 'natural fpilnpiena pulveris'];6;2;3;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki'];['sausais vājpiens', 'pilnpiena pulveris'];['olu daļiņas', 'as „rīgas piena mbināts”', 'natural fpilnpiena pulveris']
n2;45;45;46;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];['rudzu saiti', 'kl/4', 'margarīns', 'augu eļļas', 'palmu rsp0 86 rapšu', 'informācija par uzturvērtību', '1 100 g produkta satūdens', 'pārtikas sēls', 'emulgatori', 'e322 rapšu', 'e47', 'skābuma regulētājs e340', 'sviesta', "+ 2 ''āromātizētājs", 'krāsviela beta', 'karotins', 'pūdercukurs', 'kviešu milti miežu iesēlas | inerģētiskā vērtībaawstrakts', 'um', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma', 'rēgutētājs e330', 'aromatižatājs', 'garšvielas', 'kanēlis', 'krūstnēglfas', 'muskatrieksts', 'smaržīies pipari', 'rmakiantis iavers relīepiņem', 'kardemans', 'salsas maisījuma milti kviešu /', 'piesātinātās taukskābes', 'š iete', 'drdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kūķlrūza', 'sāls', 'ēromatizētāji', 'vaniļas', 'sviesta', 'var'];3;4;['sviesta aromatizētājs'];['sviesta', 'sūkalu pulveris', 'sviesta', 'karotins'];2;1;2;['sviesta', 'sūkalu pulveris'];['sviesta aromatizētājs'];['sviesta', 'karotins']
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];[];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;28;28;0;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];[];6;0;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[];0;6;0;[];['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[]
n5;35;35;75;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltētikokosrieksti', 'kokosriekstu piena pulveris', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētaisvājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrijakarbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no veides emulgatori', 'sojas iecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena', 'var', 'zemesriekstus', 'mandeles', 'lazdu riekstus', 'uzturvērtība 100 g', 'enerģētiskā vērtība 1124 kj/ 269 kcal', 'tauki 16 g', 'tostarp piesātinātās taukskābes 11 g', 'ogļhidrāti 27 g', 'tostarp cukuri 23 g', 'olbaltumvielas 3', '1 g', 'sāls 0', '12 g', 'uzglabāt temperatūrā', '186 pēc atlaidināšanas atkārtoti nesasaldēt', 'ieteicams līdz derīguma termiņa beigām', 'skatīt uz iepakojuma', 'mars latvia sia', 'sporta iela 11', 'lv', '1013 rīga =80002005', 'inftormoeffem', 'com', 'ee kookospāhkli', 'piimajāštis  kakaoglasuuriga', 'millele on tipitud kookospāhkligakrēbedad kūpsised', 'koostisosad', 'loss', 'suhkur', 'midi', 'it', 'mu vesi', 'kookospāhkel', 'kuivatatud kookospāhkel', 'kooļ map jj < la', 's pu ee it sa šā v', 'alud k m ensioss', 'kookospānkilga | n', 'ņšišģčpabarstyti traškiais kokosiniais sausainiais', 'kupsiseeedm', 'm a l'];12;13;['saldināts kondensētais vājpiens', 'no piena'];['vājpiens', 'krējums', 'no piena', 'kokosriekstu piena pulveris', 'vājpiena pulveris', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'nātrija kazeināts', 'no piena', 'e471', 'loss'];10;2;3;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'nātrija kazeināts', 'no piena'];['saldināts kondensētais vājpiens', 'no piena'];['kokosriekstu piena pulveris', 'e471', 'loss']
n6;44;44;95;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['šokolādes konfektes apvieno garšas', 'kas pilnasmaiguma un reibinošas laimes sajūtas', 'šokolāde ir dabisks laimes avots', 'dāvājiet to sevun saviem mīļajiem!sastāvdaļas', 'tumšā šokolāde', 'kakao masa', 'cukurs', 'emulgators', 'sojas lecitīns', 'dabīgsvaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldaiskrējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'vājpienapulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēradioksīds', 'kaltētas dzērvenes', 'enerģētiskā vērtība', '2104 k', '/ 504 kcal', '100 g produkta satur', 'taukus 33 g', 'tostarp piesātinātās taukskābes20 g', 'ogļhidrātus 44 g', 'tostarp cukuri 37 g', 'olbaltumvielas 4', '8 g', 'sāli 0', '21 g', 'ieteicamā uzglabāšanas temperatūra', '+15 ”c līdz +20 c', 'pēc atvēršanas izlietot 10 dienu laikā', 'produktagatavošana notiek vidē', 'kur var atrasties zemesriekstu', 'lazdu riekstu', 'valriekstu', 'mandeļu', 'pistāciju', 'sezamasēklu', 'olu', 'piena', 'sojas', 'kviešu un rudzu miltu daļiņas', 'neto daudzums', 'm x produkts ražots', 'sia „lāči”', '„benūžu', 'skauģi”', 'babītes1 08 di', '0', 'pagasts', 'mārupes novads', 'lv', '2107', 'latvija', 'g tālr', '+37166047551', 'e', 'pasts', 'infoolaci', 'lv', 'www', 'laci', 'lv', 'ieteicams līdz', 'n g»', 'skatīt uz iepakojumasebu 23600101'];8;11;['saldais krējums', 'vājpiena pulveris'];['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'sūkalu pulveris', 'piena tauki', 'olu', 'piena', 'saldaiskrējums', 'e471', 'vājpienapulveris'];6;2;5;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'sūkalu pulveris', 'piena tauki'];['saldais krējums', 'vājpiena pulveris'];['olu', 'piena', 'saldaiskrējums', 'e471', 'vājpienapulveris']
n7;25;25;60;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'saturkviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvieļas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dēlsstroze', 'cukurs', 'garšvielu ekstrakti', '100g produkta vidēji satur', 'enerģētiskā vērtība 940 kj / 225 kcal', 'tauki 13 g', 'tostarp piesātinātās taukskābes 3', '3 g', 'ogļhidrāti 13 g', 'tostarp cukuri 1', '79', 'šproduktā iespējama šādu alergēnu klātbūtne', 'soja', 'olbaltumvielas 14 g', 'sāls 1', '5 g', 'uzglabāšanas temperatūra', '+2', '+67', '| | | | ī sinepes', 'selerijas un auzas', 'produkts cepts rapšu eļļā', 'p3lepakots aizsargatmosfērā', 'pēciepakojuma atvēršanas |izlietot 48h laikā', 'ražots igaunijā', '14740003 "01087izplatītājs', 'as "hkscan latvia"', 'atlasaiela 7', 'rīga', 'lv', '1026', 'tālrunis atsauksmēm', '80005100', '$ 2', '3', '3 www', 'miesnieks', 'lvizlietot līdz'];5;7;[];['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris', 'e331'];5;0;2;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'sviesta pulveris'];[];['krējums', 'e331']
n8;37;37;44;['makaroni bez olām', 'kviešu milti', 'palmu eļļa', 'sāls', 'cukurs', 'skābuma regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājs guāra sveķi', 'garšvielas', 'sāls', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija5'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'sīpoli', 'burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'cukurs', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandrs', 'melnie pipari', 'alpinia galanga', 'ingvers', 'pētersīļi', 'kurkuma', 'melnie pipari', 'asie pipari', 'aromatizētājs', 'satur olas', 'rauga ekstrakts', 'saulespuķu eļļa'];['makaroni', 'bež dar 471', '5s fmedžiagos', 'kviešu milti', 'palmu eļļa', 'sāls', 'čūkūrs', 'skābums 74', 'pujeniy derva', 'regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājsmo stpriklīai', 'guāra sveķi', 'garšvielas', 'sāls', 'aromāta un gars 700bonukleotidai', '” pastiprinātāji', 'mononātrija gua', '0', 'pastamokai', "dinātrijas'", 'ribonukleotīdi', 'kaltēti dārzeņi ās wmlmišinys', 'karis burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', '< "avlos alpinijos', 'garšvielu maisījums', 'kari īns', 'koriandīs', 'm aveā arijs', 'kumīns', '0', '!pipirai', 'aitrieji pipari', 'kiuiia galan vert is i kuri bsiniu', 'mieliy melnie pipari', 'asie pipari', 'aromatizētājs satur olarauga ekstra "čo mres', 'vasa ēkts', 'saulespuķu el aaatn', 'l'];1;2;['satur olas'];['nātrija karbonāti', 'kari īns'];0;1;2;[];['satur olas'];['nātrija karbonāti', 'kari īns']
n9;22;22;126;['cukurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'kakao sviests', 'sausais piens', 'piena tauki', 'aromatizētājs', 'sausās sūkalas', 'sviests', 'piens', 'kakao pulveris ar samazinātu tauku saturu', 'olu pulveris', 'ciete', 'emulgators saulespuķu lecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs'];['backtriebmittel natriumhydrogemilteliai', 'sviestas', 'pienas', 'liesi kakavos milteliai', 'kiie ķil aroma', 'molkepulver', 'butter', 'mildh', 'mtlvēta starke', 'emulgator soņnenblūmenlecīthine', 's8', 'aroma', 'kann spuren//fon shalenfriidītenund ērdnūssen enthalten', 'īrocken lagem', '18', '83', 'c cd šokoladinis vaflinis tortas sušokolado gabaliukais trīfele', 'sudedamosios dalys', 'cukrus', 'kvietiniai miltai', 'augaliniairiebalai', 'alvvpalmiu', 'sviestmedžiu', 'šokoladiniu "dribsniai', 'cuksus', 'kakavos masē', 'nenugriebto pieno milteliai', 'pieno riebalai', 'kvapioji medžiaga', 'išrūgušiniu milteliai', 'krakmolas', 'emulsiklislecītinai', 'saulegražu', 'tešļos kildymo medžiaga natrio karbonatai', 'druska', 'kvapioji medžiaga', 'ra būtiriešutu ir žemēs riešutu pēdsaku', 'laikyti sausoje vietoje', '18', '63', 'ctemperatūroje', 'vahvlitort', 'koostisosad', 'suhkur', 'nisujahu', 'taimsed rasvad', 'palm', 'shea', 'šokolaadilaastud', 'suhkur', 'kakaomass', 'kakaovēāj', 'pilmapulber', 'pilmarasv', 'lūhna', 'ja maitseaine', 'vadakupulber', 'vēi', 'piim', 'vāhendatud rasvasisaldusegakakaopulber', 'munapulber', 'ftārklis', 'emulgaator paevalilleletsitin', 'kkergitusainenaatriumvesinikkarbonaat', 'sool', 'lūhna', 'ja maitseaine', 'vēib sisaldada vāhesel māāral pāhklitja maapahklit', 'sāilitada kuivas kohas temperatuuri!', '18+3', '” c turustaja eestis', 'orkla eestias', 'pērguvālja tee 6', 'lehmja', 'rae vald', '75306', 'harjumaa', 'eesti', 'www', 'orkla', 'eeulokonajhbili baperbhbīli topt c wokonajhbimm a1otbamm tpnģpere', 'octab', '„mehmuhaa myka', 'pacmtējibhbii xmp', 'narbmobbili', 'lm', 'lokonajihbie xnonba', 'caxap', 'kakao teptoe', 'kakao mac1o', 'cnxoe luenbhoe moamoko', 'mojnouhbii xmp', 'apomam3atop', '4aa clbopotka', 'gimbo4uhoe mac1o', 'moamoko', 'kakao mopollok ctohvakehhdim cohepkahmem xmvpa', 'amuhbii topollok', 'kpaxmaji', '3mņjibratopmofconheuhbila nelļatah', 'pazpdlumtejib mpokapookat hatpma', 'cojib', 'apomatm3atop', 'bo3momkho copepanmē uacmu opexob m apaxmca', 'āpahmtb b cyxxom mecte', 'npitemneparype', '1843', 'c', 'cpejume 3hauekma mmleson iehhocmm', '8', '1007 npojykta', '3hepremmueckaa ueehhocto = 2139 1x7 512 krāni', 'gem —5', '2 1', 'xwpol— 291', 'yrnesojipi =301', '1 nopuva 501 npogykta copiepomt', '3heprermuecka lehhoctb — 1070 kl', '256 kkan', 'čejku', 'xupbi 15 r', 'yrmegojipi = 28 r', 'n7 servings', 'per container/doses par emballage āserving size/portion 1/7 pieces', '50 g', '/ 1/7 piēecēamount per serving/guantitē par portioncalories/caloriesnutrition facts/valeur nutritive daily value/ valeur guotidiennetotal fat/lipides total 15gsaturated fat/saturēs 8gtrans fat/trans ogcholesterol/cholestērol <5mgsodium/sodium 45mgtotal carbohydrate/glucides 28gdietary fiber/fibres 2gtotal sugars/sucres 18g zrincludes 12g added sugars/comprend 12g de sucres ajoutēsprotein/protein 3g 4'];6;6;['sausais piens', 'piena tauki', 'sausās sūkalas', 'sviests', 'piens', 'olu pulveris'];['sviestas', 'pienas', 'nenugriebto pieno milteliai', 'nenugriebto pieno milteliai', 'pieno riebalai', 'pieno riebalai'];0;6;6;[];['sausais piens', 'piena tauki', 'sausās sūkalas', 'sviests', 'piens', 'olu pulveris'];['sviestas', 'pienas', 'nenugriebto pieno milteliai', 'nenugriebto pieno milteliai', 'pieno riebalai', 'pieno riebalai']
n10;15;15;0;['piens', 'karameļu piedeva', 'cukurs', 'ūdens', 'dedzināta cukura sīrups', 'dabīgs aromatizētājs', 'karamele', 'biezinātāji', 'guāra sveķi', 'karagināns', 'vitamīni a', 'b6', 'b12', 'd', 'folijskābe'];[];1;0;['piens'];[];0;1;0;[];['piens'];[]
